sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.800000000000000000e+01,1.578361062402822493e-02,2.616083940973826572e+00,2.616190476430536371e+00,2.609816557599463849e+00,2.621900978202154953e+00
1.900000000000000000e+01,1.470670852217782591e-02,2.629446645761098988e+00,2.629553823708052018e+00,2.623408943897791890e+00,2.635126390114828077e+00
2.000000000000000000e+01,1.374832086645840119e-02,2.641750493393429267e+00,2.641857981848773740e+00,2.635858030869862034e+00,2.647228104564576245e+00
2.100000000000000000e+01,1.289072685056294292e-02,2.653332027768394052e+00,2.653439549891612792e+00,2.647606728610053750e+00,2.658650504867943187e+00
2.200000000000000000e+01,1.211958856103875076e-02,2.664184357929925806e+00,2.664291746417750240e+00,2.658588194152934125e+00,2.669290941551857088e+00
2.300000000000000000e+01,1.142305329288722041e-02,2.674449755101099946e+00,2.674556893249767420e+00,2.669080281215796546e+00,2.679221789746759175e+00
2.400000000000000000e+01,1.079131107922705335e-02,2.684170452155206998e+00,2.684277287159486214e+00,2.679099357754591182e+00,2.688723517020718212e+00
2.500000000000000000e+01,1.021614836210070487e-02,2.693421332190962580e+00,2.693527849102407501e+00,2.688487681096395132e+00,2.697876363168810521e+00
2.600000000000000000e+01,9.690655401974661298e-03,2.702244891254268033e+00,2.702351112940351907e+00,2.697583454871129938e+00,2.706540821554096254e+00
2.700000000000000000e+01,9.208974360066412429e-03,2.710687478703367681e+00,2.710793453306553857e+00,2.706074958949825415e+00,2.714751833469888798e+00
2.800000000000000000e+01,8.766112754214202760e-03,2.718782865439376639e+00,2.718888663045301968e+00,2.714191081174363696e+00,2.722760948633428324e+00
2.900000000000000000e+01,8.357790176042585381e-03,2.726562527882210762e+00,2.726668233666313057e+00,2.721914008534098706e+00,2.730451218433645799e+00
3.000000000000000000e+01,7.980318357321106865e-03,2.734051851054870586e+00,2.734157561788948421e+00,2.729370162488661489e+00,2.737977364889957244e+00
3.100000000000000000e+01,7.630503370147887453e-03,2.741273312329425504e+00,2.741379132151062770e+00,2.736552919547576845e+00,2.745159989959143676e+00
3.200000000000000000e+01,7.305566897700908717e-03,2.748245855638919988e+00,2.748351893169992621e+00,2.743481882009553896e+00,2.752165876950456003e+00
3.300000000000000000e+01,7.003081684219781070e-03,2.754986049156095795e+00,2.755092414666153733e+00,2.750028361387296449e+00,2.758984357850948754e+00
3.400000000000000000e+01,6.720918644939512590e-03,2.761508180100958665e+00,2.761614983314009564e+00,2.756561222557800228e+00,2.765601862983001258e+00
3.500000000000000000e+01,6.457203101402324806e-03,2.767824777778791656e+00,2.767932125902582641e+00,2.762703520210751940e+00,2.771999887888212388e+00
3.600000000000000000e+01,6.210278452390615052e-03,2.773946818356036736e+00,2.774054814488653875e+00,2.768656098773922825e+00,2.778168309589514440e+00
3.700000000000000000e+01,5.978675819343602649e-03,2.779884012979152441e+00,2.779992754748738637e+00,2.774547827881540751e+00,2.784194739643750971e+00
3.800000000000000000e+01,5.761088578634444325e-03,2.785644986432629810e+00,2.785754564898303531e+00,2.780221461018403062e+00,2.790120547398222239e+00
3.900000000000000000e+01,5.556350884726041391e-03,2.791237457190709481e+00,2.791347955947680148e+00,2.785620140710727277e+00,2.795807451145801537e+00
4.000000000000000000e+01,5.363419483384647760e-03,2.796668371171252776e+00,2.796779865654509312e+00,2.790981493386173629e+00,2.801421431129946349e+00
4.100000000000000000e+01,5.181358243963403790e-03,2.801944021563720355e+00,2.802056578521409769e+00,2.796072261671253223e+00,2.806992126536960175e+00
4.200000000000000000e+01,5.009324952768717115e-03,2.807070144444784976e+00,2.807183821568159043e+00,2.801078448987768699e+00,2.812366052210214296e+00
4.300000000000000000e+01,4.846559993517228840e-03,2.812052000795131956e+00,2.812166846486114036e+00,2.805972702425076459e+00,2.817524889601199956e+00
4.400000000000000000e+01,4.692376610286303970e-03,2.816894443827466787e+00,2.817010497090114640e+00,2.810572868134615820e+00,2.822453002355592933e+00
4.500000000000000000e+01,4.546152502565832185e-03,2.821601975831980802e+00,2.821719266273112758e+00,2.815030140109107126e+00,2.827290094685864563e+00
4.600000000000000000e+01,4.407322546204676082e-03,2.826178795389662657e+00,2.826297343316159338e+00,2.819427776365223792e+00,2.832057220879570014e+00
