sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.800000000000000000e+01,1.603489710794764669e-02,2.576637163915407758e+00,2.576755814420765844e+00,2.567022192051322538e+00,2.587710353647600936e+00
1.900000000000000000e+01,1.495674716219519938e-02,2.589796342811111707e+00,2.589919544494767134e+00,2.580223616778801521e+00,2.600733494097578369e+00
2.000000000000000000e+01,1.399621662894745718e-02,2.602119501892564468e+00,2.602246883035093106e+00,2.592494817099506133e+00,2.612781397721513521e+00
2.100000000000000000e+01,1.313575575005034024e-02,2.613922749205265017e+00,2.614054016621634613e+00,2.604470808963290640e+00,2.624215384596154887e+00
2.200000000000000000e+01,1.236117611546838808e-02,2.625170883091248353e+00,2.625305805119839686e+00,2.615820392083842982e+00,2.635187160883594615e+00
2.300000000000000000e+01,1.166074667645531325e-02,2.635985468261748732e+00,2.636123874993465677e+00,2.626658615211484804e+00,2.645898704112638722e+00
2.400000000000000000e+01,1.102476051598066248e-02,2.646386960356818197e+00,2.646528736944814497e+00,2.637387240492721663e+00,2.656024110546132633e+00
2.500000000000000000e+01,1.044508907351581611e-02,2.656432213667653919e+00,2.656577293530566486e+00,2.647243844585148054e+00,2.665628673756005540e+00
2.600000000000000000e+01,9.914893672400044641e-03,2.666146592696810647e+00,2.666294951671143387e+00,2.657032081514268285e+00,2.675126198434363722e+00
2.700000000000000000e+01,9.428375228068872071e-03,2.675561653043569965e+00,2.675713302215958489e+00,2.666455198691486395e+00,2.684212441302115781e+00
2.800000000000000000e+01,8.980589997928674351e-03,2.684697706590867927e+00,2.684852686529780819e+00,2.675708654735274639e+00,2.693046477935267635e+00
2.900000000000000000e+01,8.567297750523443500e-03,2.693574475011096148e+00,2.693732849481531577e+00,2.684661127927109092e+00,2.701940751136870933e+00
3.000000000000000000e+01,8.184843289631090618e-03,2.702206885617155496e+00,2.702368736288993212e+00,2.693483557371872728e+00,2.710477797534395439e+00
3.100000000000000000e+01,7.830059754025493410e-03,2.710608290886384886e+00,2.710773712101749222e+00,2.701840291661712357e+00,2.718895303471312808e+00
3.200000000000000000e+01,7.500190873908596859e-03,2.718789635090864909e+00,2.718958729340879454e+00,2.710088430829431072e+00,2.726830124959022772e+00
3.300000000000000000e+01,7.192827216238437474e-03,2.726760550898612578e+00,2.726933424616502233e+00,2.718128479844120093e+00,2.734777095549632886e+00
3.400000000000000000e+01,6.905853979888328456e-03,2.734529320580088019e+00,2.734706080494755387e+00,2.725834989834130084e+00,2.742471535936497062e+00
3.500000000000000000e+01,6.637407798836986693e-03,2.742103317259238615e+00,2.742284067147167548e+00,2.733606105313408641e+00,2.749925047221418062e+00
