job,k0,T,target_N3,rho,configurations,mean_total_N3,mean_condensate_N3,peak_Ds,peak_sigma,Ds_sigma15,Ds_sigma25,convergence_established
590bcc4ae5515ad24761,0.5,64,30000,0.8,16,30044.625,29292.8125,2.9547489444583763,123,2.5695893517369344,2.6934213321909626,False
dc0bd0d263f25696be2d,1.0,64,30000,0.8,16,29963.0625,29126.5625,2.943560344786032,129,2.534030357674931,2.6488311052388105,False
d98f6ba3a813c6c7f098,1.5,64,30000,0.8,16,30036.5625,29037.5,2.9420084963673143,141,2.4959495989575515,2.605387560938599,False
