sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.800000000000000000e+01,1.671019250240914425e-02,2.483536193032873207e+00,2.483680130894487803e+00,2.476614364359802423e+00,2.489015116823024787e+00
1.900000000000000000e+01,1.562592242008660828e-02,2.495609795124009711e+00,2.495758756081560392e+00,2.488646341299377340e+00,2.501768563771854303e+00
2.000000000000000000e+01,1.465776065770303845e-02,2.507106556238006156e+00,2.507260951546230299e+00,2.500005308979631469e+00,2.513985060049515941e+00
2.100000000000000000e+01,1.378849402785186848e-02,2.518335267362605379e+00,2.518495467377706021e+00,2.510865896910874806e+00,2.525752344202109256e+00
2.200000000000000000e+01,1.300423442940979932e-02,2.529205368116284269e+00,2.529371678370448961e+00,2.521551444400319308e+00,2.537193745677174039e+00
2.300000000000000000e+01,1.229347677661978347e-02,2.539818469683361890e+00,2.539991108319214153e+00,2.531796871762297840e+00,2.548519412861622424e+00
2.400000000000000000e+01,1.164670402184969471e-02,2.550161238752144399e+00,2.550340333226333467e+00,2.541701135587512095e+00,2.559428254070314157e+00
2.500000000000000000e+01,1.105593622846395840e-02,2.560270805646557069e+00,2.560456387365587894e+00,2.551564552979006084e+00,2.569904598143430530e+00
2.600000000000000000e+01,1.051445639165663956e-02,2.570150073963273218e+00,2.570342084579322339e+00,2.560997946011366100e+00,2.580336502760279149e+00
2.700000000000000000e+01,1.001656196412934602e-02,2.579814492644064039e+00,2.580012788836822057e+00,2.570394838006054616e+00,2.590509083168354820e+00
2.800000000000000000e+01,9.557387068637077446e-03,2.589268801417039079e+00,2.589473165174508207e+00,2.579651637988991997e+00,2.600557590522338369e+00
2.900000000000000000e+01,9.132753244133323331e-03,2.598520505981158024e+00,2.598730653732113094e+00,2.588559861331404033e+00,2.610367975991236822e+00
3.000000000000000000e+01,8.739054427914788245e-03,2.607573567864492237e+00,2.607789161547016565e+00,2.597303256522172532e+00,2.619875397207958478e+00
3.100000000000000000e+01,8.373162332987998252e-03,2.616432400378121859e+00,2.616653057407835714e+00,2.605782064970371348e+00,2.629031079360532708e+00
3.200000000000000000e+01,8.032350775603321752e-03,2.625100202577137054e+00,2.625325505986084274e+00,2.614174902948164902e+00,2.638147214217331449e+00
3.300000000000000000e+01,7.714233406481532489e-03,2.633580192437483092e+00,2.633809699903113533e+00,2.622443195649869718e+00,2.646937759646898147e+00
3.400000000000000000e+01,7.416712827144252181e-03,2.641875190564262343e+00,2.642108442859272710e+00,2.630546677855190918e+00,2.655502933935363963e+00
3.500000000000000000e+01,7.137938417847058091e-03,2.649988017789492556e+00,2.650224546169773987e+00,2.638395461824183386e+00,2.663758517002007498e+00
3.600000000000000000e+01,6.876271362029566687e-03,2.657921400209504181e+00,2.658160732991608377e+00,2.646127463357670795e+00,2.671894124024598138e+00
3.700000000000000000e+01,6.630255395436331946e-03,2.665678100152833796e+00,2.665919768342082996e+00,2.653804049536623300e+00,2.679813486677431911e+00
3.800000000000000000e+01,6.398592264569166743e-03,2.673260895169630835e+00,2.673504437287609559e+00,2.661260513060546007e+00,2.687527421694182461e+00
3.900000000000000000e+01,6.180121014251920182e-03,2.680672618113816963e+00,2.680917584225021688e+00,2.668512695752538910e+00,2.695040543939650757e+00
4.000000000000000000e+01,5.973800439452886871e-03,2.687916148546519057e+00,2.688162103591016816e+00,2.675727861865820234e+00,2.702385422185900055e+00
4.100000000000000000e+01,5.778694147516927511e-03,2.694994419970498711e+00,2.695240946451116670e+00,2.682802102047304071e+00,2.709606445193422974e+00
4.200000000000000000e+01,5.593957793543757710e-03,2.701910411055529426e+00,2.702157111164358305e+00,2.689659098504224133e+00,2.716639789097408553e+00
4.300000000000000000e+01,5.418828128436425223e-03,2.708667140898147530e+00,2.708913638141308144e+00,2.696364118244984454e+00,2.723368719782266911e+00
4.400000000000000000e+01,5.252613568109563459e-03,2.715267659174650738e+00,2.715513599563964320e+00,2.702914250660019224e+00,2.730085474688397351e+00
4.500000000000000000e+01,5.094686043263019215e-03,2.721715037605553444e+00,2.721960090472232530e+00,2.709292921230394224e+00,2.736507056521989334e+00
4.600000000000000000e+01,4.944473932202272416e-03,2.728012360160733785e+00,2.728256218645681130e+00,2.715552764599828084e+00,2.742908479234505315e+00
