rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,1.700000000000000000e+01,3.400000000000000355e+00,1.078746453435346642e-01,2.395054650129801121e+00,2.395072862167940020e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.800000000000000000e+01,3.600000000000000089e+00,1.007380026792749211e-01,2.410714740281606705e+00,2.410735572786736558e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.900000000000000000e+01,3.800000000000000266e+00,9.438294601212043888e-02,2.424667531794530095e+00,2.424691010186915907e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000000e+01,4.000000000000000000e+00,8.869340979765889810e-02,2.437261951106031610e+00,2.437288088758909232e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.100000000000000000e+01,4.200000000000000178e+00,8.357449236143599247e-02,2.448759007305536084e+00,2.448787811063379394e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.200000000000000000e+01,4.400000000000000355e+00,7.894799118094203427e-02,2.459355011697053950e+00,2.459386485746956730e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.300000000000000000e+01,4.600000000000000533e+00,7.474898609896941937e-02,2.469198749815399108e+00,2.469232898078241423e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.400000000000000000e+01,4.800000000000000711e+00,7.092320409287490579e-02,2.478404082406859388e+00,2.478440909716587370e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.500000000000000000e+01,5.000000000000000000e+00,6.742497115892125137e-02,2.487059143243710135e+00,2.487098655613400044e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.600000000000000000e+01,5.200000000000000178e+00,6.421560845272536455e-02,2.495233032352523583e+00,2.495275236611723457e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.700000000000000000e+01,5.400000000000000355e+00,6.126216702800370284e-02,2.502980681835861976e+00,2.503025584885250510e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.800000000000000000e+01,5.600000000000000533e+00,5.853642250463295116e-02,2.510346396577995964e+00,2.510394004458560424e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.900000000000000000e+01,5.800000000000000711e+00,5.601407069575111558e-02,2.517366437881819241e+00,2.517416754806583334e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.000000000000000000e+01,6.000000000000000000e+00,5.367407969019766245e-02,2.524070917221455712e+00,2.524123944673360320e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.100000000000000000e+01,6.200000000000000178e+00,5.149816457726262564e-02,2.530485192744492018e+00,2.530540928706150883e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.200000000000000000e+01,6.400000000000000355e+00,4.947035895096275893e-02,2.536630906746727199e+00,2.536689345097972392e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.300000000000000000e+01,6.600000000000000533e+00,4.757666328092303998e-02,2.542526763018424951e+00,2.542587893115098474e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.400000000000000000e+01,6.800000000000000711e+00,4.580475471802752246e-02,2.548189114752745787e+00,2.548252921184212205e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.500000000000000000e+01,7.000000000000000000e+00,4.414374629926429844e-02,2.553632413579840943e+00,2.553698876091837988e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.600000000000000000e+01,7.200000000000000178e+00,4.258398610640905246e-02,2.558869555983513955e+00,2.558938649546655508e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.700000000000000000e+01,7.400000000000000355e+00,4.111688892092776881e-02,2.563912153207526412e+00,2.563983848208469585e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.800000000000000000e+01,7.600000000000000533e+00,3.973479445218065786e-02,2.568770743558125069e+00,2.568845006089424121e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.900000000000000000e+01,7.800000000000000711e+00,3.843084740803152238e-02,2.573454960895545707e+00,2.573531753120752441e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.000000000000000000e+01,8.000000000000000000e+00,3.719889560824172353e-02,2.577973669465363216e+00,2.578052950037817759e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.100000000000000000e+01,8.200000000000001066e+00,3.603340307275057497e-02,2.582335072611805060e+00,2.582416797127927488e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.200000000000000000e+01,8.400000000000000355e+00,3.492937559506314321e-02,2.586546801036472054e+00,2.586630922506364616e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.300000000000000000e+01,8.599999999999999645e+00,3.388229677018838454e-02,2.590615984902332691e+00,2.590702454223903661e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.400000000000000000e+01,8.800000000000000711e+00,3.288807281324791776e-02,2.594549313083736486e+00,2.594638079508678086e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.500000000000000000e+01,9.000000000000000000e+00,3.194298479913701416e-02,2.598353082120702595e+00,2.598444093703134339e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.600000000000000000e+01,9.200000000000001066e+00,3.104364719091519745e-02,2.602033236882493217e+00,2.602126440903349547e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.700000000000000000e+01,9.400000000000000355e+00,3.018697171685842326e-02,2.605595404525018921e+00,2.605690747887058567e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.800000000000000000e+01,9.600000000000001421e+00,2.937013581257534589e-02,2.609044923002859839e+00,2.609142352592932923e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.900000000000000000e+01,9.800000000000000711e+00,2.859055497248958605e-02,2.612386865147914961e+00,2.612486328164349558e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.000000000000000000e+01,1.000000000000000000e+01,2.784585845997491343e-02,2.615626059129859016e+00,2.615727503374247753e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.100000000000000000e+01,1.020000000000000107e+01,2.713386791195454562e-02,2.618767105957661379e+00,2.618870480091045394e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.200000000000000000e+01,1.040000000000000036e+01,2.645257844536262615e-02,2.621814394559006445e+00,2.621919648323214336e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.300000000000000000e+01,1.060000000000000142e+01,2.580014193231506409e-02,2.624772114874267981e+00,2.624879199279884556e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.400000000000000000e+01,1.080000000000000071e+01,2.517485216038642046e-02,2.627644269319383774e+00,2.627753136802061462e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.500000000000000000e+01,1.100000000000000000e+01,2.457513163582984023e-02,2.630434682909778665e+00,2.630545287457099590e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.600000000000000000e+01,1.120000000000000107e+01,2.399951982235078163e-02,2.633147012281595423e+00,2.633259309532566927e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.700000000000000000e+01,1.140000000000000036e+01,2.344666263732241365e-02,2.635784753802918878e+00,2.635898701122798116e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.800000000000000000e+01,1.160000000000000142e+01,2.291530305205227366e-02,2.638351250934031000e+00,2.638466807466652853e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.900000000000000000e+01,1.180000000000000071e+01,2.240427266365147344e-02,2.640849700963860514e+00,2.640966827664022798e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.000000000000000000e+01,1.200000000000000000e+01,2.191248412384690439e-02,2.643283161227642619e+00,2.643401820875894259e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.100000000000000000e+01,1.220000000000000107e+01,2.143892432523093056e-02,2.645654554890297661e+00,2.645774712092145542e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.200000000000000000e+01,1.240000000000000036e+01,2.098264825838795991e-02,2.647966676363882499e+00,2.648088297535887481e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.300000000000000000e+01,1.260000000000000142e+01,2.054277346442325361e-02,2.650222196414257159e+00,2.650345249758961241e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.400000000000000000e+01,1.280000000000000071e+01,2.011847501693836762e-02,2.652423667002336227e+00,2.652548122473598724e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.500000000000000000e+01,1.300000000000000000e+01,1.970898097569008869e-02,2.654573525895271846e+00,2.654699355155786034e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.600000000000000000e+01,1.320000000000000107e+01,1.931356826123928339e-02,2.656674101075664929e+00,2.656801277448458176e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.700000000000000000e+01,1.340000000000000036e+01,1.893155890600840136e-02,2.658727614972741016e+00,2.658856113387850328e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.800000000000000000e+01,1.360000000000000142e+01,1.856231664246484059e-02,2.660736188532933699e+00,2.660865985470359352e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.900000000000000000e+01,1.380000000000000071e+01,1.820524379374938162e-02,2.662701845145019952e+00,2.662832918575090524e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.000000000000000000e+01,1.400000000000000000e+01,1.785977843607453042e-02,2.664626514430989523e+00,2.664758843753386230e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.100000000000000000e+01,1.420000000000000107e+01,1.752539180571185268e-02,2.666512035911126510e+00,2.666645601893166351e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.200000000000000000e+01,1.440000000000000036e+01,1.720158592644088422e-02,2.668360162551859815e+00,2.668494947266448314e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.300000000000000000e+01,1.460000000000000142e+01,1.688789143600591403e-02,2.670172564201426457e+00,2.670308550965838634e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.400000000000000000e+01,1.480000000000000071e+01,1.658386559247327849e-02,2.671950830917401820e+00,2.672088004233144520e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.500000000000000000e+01,1.500000000000000000e+01,1.628909044344332632e-02,2.673696476191299798e+00,2.673834821685268537e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.600000000000000000e+01,1.520000000000000107e+01,1.600317114288666784e-02,2.675410940071896615e+00,2.675550444439500630e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.700000000000000000e+01,1.540000000000000036e+01,1.572573440197593334e-02,2.677095592190267048e+00,2.677236243140516780e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.800000000000000000e+01,1.560000000000000142e+01,1.545642706169855600e-02,2.678751734689730046e+00,2.678893520892526414e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.900000000000000000e+01,1.580000000000000071e+01,1.519491477628836552e-02,2.680380605061262855e+00,2.680523516097151671e+00,0.000000000000000000e+00
