sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.800000000000000000e+01,1.718235348360172554e-02,2.425314770697069466e+00,2.425538303526959538e+00,2.412012985863422276e+00,2.441033366225915380e+00
1.900000000000000000e+01,1.609280620894652097e-02,2.436540818966583810e+00,2.436765808820768875e+00,2.423066713572319841e+00,2.452090248488522750e+00
2.000000000000000000e+01,1.511862826150608963e-02,2.447348455388312249e+00,2.447574194632832878e+00,2.433343685525418465e+00,2.462977968858256705e+00
2.100000000000000000e+01,1.424277863277717028e-02,2.458031704865830669e+00,2.458257482481176925e+00,2.443461368279583379e+00,2.473941393185177695e+00
2.200000000000000000e+01,1.345152343080361843e-02,2.468469357941518894e+00,2.468694736544961188e+00,2.453456160182823531e+00,2.484414913290585059e+00
2.300000000000000000e+01,1.273347529611484723e-02,2.478747074527649197e+00,2.478971681753908030e+00,2.463450675260684175e+00,2.494319200236175593e+00
2.400000000000000000e+01,1.207921627259428074e-02,2.488831895024516072e+00,2.489055519062263411e+00,2.473188534462416044e+00,2.504373992320158226e+00
2.500000000000000000e+01,1.148084451585935570e-02,2.498747767154612109e+00,2.498970263286251381e+00,2.482809635993413089e+00,2.514092238857323469e+00
2.600000000000000000e+01,1.093170688863216722e-02,2.508484501765186891e+00,2.508705816812997647e+00,2.492158529639407760e+00,2.523713319635600971e+00
2.700000000000000000e+01,1.042615154247575858e-02,2.518047702452396841e+00,2.518267829241757294e+00,2.501149416965388284e+00,2.533090776839810321e+00
2.800000000000000000e+01,9.959353298374700597e-03,2.527433267694096930e+00,2.527652244794448055e+00,2.510105603230155413e+00,2.542805447838350386e+00
2.900000000000000000e+01,9.527165797796074628e-03,2.536641744839030377e+00,2.536859631991478459e+00,2.518840947901628269e+00,2.551768414635290139e+00
3.000000000000000000e+01,9.126008247592212047e-03,2.545671172896726731e+00,2.545888044279972728e+00,2.527358556435666870e+00,2.560886613365667586e+00
3.100000000000000000e+01,8.752771927145632305e-03,2.554521248888649065e+00,2.554737178924459950e+00,2.535745150746748777e+00,2.569730753323590022e+00
3.200000000000000000e+01,8.404745606477064673e-03,2.563191298142302621e+00,2.563406354881468285e+00,2.544026191381812740e+00,2.578579615359188892e+00
3.300000000000000000e+01,8.079554089594952193e-03,2.571681478494455941e+00,2.571895715453542230e+00,2.552408244001842963e+00,2.587068920441319531e+00
3.400000000000000000e+01,7.775108042637504831e-03,2.579992178792026358e+00,2.580205630442900411e+00,2.560319260655757212e+00,2.595362856840442323e+00
3.500000000000000000e+01,7.489562385498842005e-03,2.588124345944406990e+00,2.588337023522407243e+00,2.568272960100392410e+00,2.603696358957625634e+00
3.600000000000000000e+01,7.221281792626675633e-03,2.596079279642959037e+00,2.596291168971982533e+00,2.576009267006911241e+00,2.611708679227495722e+00
3.700000000000000000e+01,6.968811828990478796e-03,2.603858696184584431e+00,2.604069756242588518e+00,2.583186634413815241e+00,2.619729971888984821e+00
3.800000000000000000e+01,6.730854730924220111e-03,2.611464634736368140e+00,2.611674797439840212e+00,2.590479192888649251e+00,2.627495308399138807e+00
3.900000000000000000e+01,6.506248958165305844e-03,2.618899443768882840e+00,2.619108614434682458e+00,2.597844192225964299e+00,2.635173957889864305e+00
4.000000000000000000e+01,6.293951864832912635e-03,2.626165722146185377e+00,2.626373780703255889e+00,2.605073142785390594e+00,2.642691607706421308e+00
4.100000000000000000e+01,6.093024942058749421e-03,2.633266286245206977e+00,2.633473088927798411e+00,2.612028819321146944e+00,2.650003607304341369e+00
4.200000000000000000e+01,5.902621202365242875e-03,2.640204125866802976e+00,2.640409507340796491e+00,2.618659555372813141e+00,2.656947820798560400e+00
4.300000000000000000e+01,5.721974350346521222e-03,2.646982370548106367e+00,2.647186146315632094e+00,2.625429554399215437e+00,2.663635854359658772e+00
4.400000000000000000e+01,5.550389452828133688e-03,2.653604255041488003e+00,2.653806224052299267e+00,2.631952125184549018e+00,2.670057898975372712e+00
4.500000000000000000e+01,5.387234871501927341e-03,2.660073090453725086e+00,2.660273037824493425e+00,2.638308061985536135e+00,2.676636153262125450e+00
4.600000000000000000e+01,5.231935263636217949e-03,2.666392237493969475e+00,2.666589937272843880e+00,2.644507142941666444e+00,2.683285584031312343e+00
4.700000000000000000e+01,5.083965489457784384e-03,2.672565083662306940e+00,2.672760301573818609e+00,2.650568673123005592e+00,2.689574686050463459e+00
4.800000000000000000e+01,4.942845292281557862e-03,2.678595023107249506e+00,2.678787519231329295e+00,2.656469618041894964e+00,2.695640359200025316e+00
4.900000000000000000e+01,4.808134639459982727e-03,2.684485439534065598e+00,2.684674970878055955e+00,2.662271309390668250e+00,2.701412398027480233e+00
5.000000000000000000e+01,4.679429630425441591e-03,2.690239691585174064e+00,2.690426014518863873e+00,2.668084621681485746e+00,2.707296489738730383e+00
5.100000000000000000e+01,4.556358892944977444e-03,2.695861100632621632e+00,2.696043973162482121e+00,2.673783563417555076e+00,2.713179610930299468e+00
5.200000000000000000e+01,4.438580401013443935e-03,2.701352940632593125e+00,2.701532124499146814e+00,2.678988159605419028e+00,2.718830726382440943e+00
5.300000000000000000e+01,4.325778657973595488e-03,2.706718429866240783e+00,2.706893692453482991e+00,2.684328395817974222e+00,2.724330701179138448e+00
5.400000000000000000e+01,4.217662196917987619e-03,2.711960724311995641e+00,2.712131840362972834e+00,2.689581686776990388e+00,2.729749474483869065e+00
5.500000000000000000e+01,4.113961357483650501e-03,2.717082912461532995e+00,2.717249665598453046e+00,2.694633244827079555e+00,2.734969326230254794e+00
5.600000000000000000e+01,4.014426304064426174e-03,2.722088011380232153e+00,2.722250195430782505e+00,2.699752611664537838e+00,2.740065298925723702e+00
5.700000000000000000e+01,3.918825255432521401e-03,2.726978963847613180e+00,2.727136383981692447e+00,2.704690496901189345e+00,2.745009226193605212e+00
5.800000000000000000e+01,3.826942899949351863e-03,2.731758636418235575e+00,2.731911110102126283e+00,2.709486573780882424e+00,2.749789531561516398e+00
5.900000000000000000e+01,3.738578974087416410e-03,2.736429818268235614e+00,2.736577176044416415e+00,2.714127017513527473e+00,2.754444881512396304e+00
6.000000000000000000e+01,3.653546984989292958e-03,2.740995220704082413e+00,2.741137306806321838e+00,2.718805309164361805e+00,2.758978487792071999e+00
6.100000000000000000e+01,3.571673060346192054e-03,2.745457477225234921e+00,2.745594150039781578e+00,2.723086434994519411e+00,2.763447767936578092e+00
6.200000000000000000e+01,3.492794911059270146e-03,2.749819144046742103e+00,2.749950276430571883e+00,2.727437371231268948e+00,2.767729246684096811e+00
6.300000000000000000e+01,3.416760894012969146e-03,2.754082700998264244e+00,2.754208180466121370e+00,2.731700725450971312e+00,2.771910363601013838e+00
6.400000000000000000e+01,3.343429163890246619e-03,2.758250552728798599e+00,2.758370281520522660e+00,2.735878250678672519e+00,2.776156875659110401e+00
6.500000000000000000e+01,3.272666904336252614e-03,2.762325030154326289e+00,2.762438925193977379e+00,2.740056722987633808e+00,2.780308265771520126e+00
6.600000000000000000e+01,3.204349629964005006e-03,2.766308392095627955e+00,2.766416384853872756e+00,2.744124591093864307e+00,2.784356186806322686e+00
6.700000000000000000e+01,3.138360551721435226e-03,2.770202827060787687e+00,2.770304863331306766e+00,2.748279063935651578e+00,2.788368626132423866e+00
6.800000000000000000e+01,3.074589999027963622e-03,2.774010455133634423e+00,2.774106494734111639e+00,2.752353551025992662e+00,2.792146538609265427e+00
6.900000000000000000e+01,3.012934892860363433e-03,2.777733329935821782e+00,2.777823346343421651e+00,2.756327205314443862e+00,2.795811258439413916e+00
7.000000000000000000e+01,2.953298264639197743e-03,2.781373440634826277e+00,2.781457420565655259e+00,2.759869344025439375e+00,2.799329030114986683e+00
7.100000000000000000e+01,2.895588816352643625e-03,2.784932713975072804e+00,2.785010656916352190e+00,2.763528061042457740e+00,2.802758522979608369e+00
7.200000000000000000e+01,2.839720517866228203e-03,2.788413016313610715e+00,2.788484934016691064e+00,2.767106038733533779e+00,2.806334601871823153e+00
7.300000000000000000e+01,2.785612237814990601e-03,2.791816155644918584e+00,2.791882071586856640e+00,2.770427233948030477e+00,2.809651092505700554e+00
7.400000000000000000e+01,2.733187404867679082e-03,2.795143883602067003e+00,2.795203832422398005e+00,2.773808824185203914e+00,2.813008945856963372e+00
7.500000000000000000e+01,2.682373696498043317e-03,2.798397897424372172e+00,2.798451924343579478e+00,2.777126377875072105e+00,2.816180561829545681e+00
7.600000000000000000e+01,2.633102752702524887e-03,2.801579841883527600e+00,2.801628002109154192e+00,2.780381095127291591e+00,2.819358730275432823e+00
7.700000000000000000e+01,2.585309912371998309e-03,2.804691311162933243e+00,2.804733669287865716e+00,2.783460572386703635e+00,2.822378685821332667e+00
7.800000000000000000e+01,2.538933970262354130e-03,2.807733850684783761e+00,2.807770480082854458e+00,2.786253254804716306e+00,2.825586773156028464e+00
7.900000000000000000e+01,2.493916952718676187e-03,2.810708958881817487e+00,2.810739941104883233e+00,2.789624549871874581e+00,2.828455111111158882e+00
8.000000000000000000e+01,2.450203910493827224e-03,2.813618088912734461e+00,2.813643513092197956e+00,2.792763914864474728e+00,2.831345606253865999e+00
8.100000000000000000e+01,2.407742727167549307e-03,2.816462650318370287e+00,2.816482612574867872e+00,2.795510746041529604e+00,2.834216440788548841e+00
8.200000000000000000e+01,2.366483941819221091e-03,2.819244010619212926e+00,2.819258613483120790e+00,2.798384101643037525e+00,2.837012773994932679e+00
8.300000000000000000e+01,2.326380584738276316e-03,2.821963496854114961e+00,2.821972848699016989e+00,2.801191329685184250e+00,2.839768857098853516e+00
8.400000000000000000e+01,2.287388025073178351e-03,2.824622397060519319e+00,2.824626611551693589e+00,2.803889146250125641e+00,2.842438144698342661e+00
8.500000000000000000e+01,2.249463829424112882e-03,2.827221961697348185e+00,2.827221157257100437e+00,2.806531569393472481e+00,2.845139847213246753e+00
8.600000000000000000e+01,2.212567630477982241e-03,2.829763405011779032e+00,2.829757704302577448e+00,2.809198028590578655e+00,2.847549262396547931e+00
8.700000000000000000e+01,2.176661004867831272e-03,2.832247906351447853e+00,2.832237435778214962e+00,2.811810155455978677e+00,2.849988323752782104e+00
8.800000000000000000e+01,2.141707359513916106e-03,2.834676611422930925e+00,2.834661500655448751e+00,2.814373248184811604e+00,2.852555998607820165e+00
8.900000000000000000e+01,2.107671825770939672e-03,2.837050633499721641e+00,2.837031015015394786e+00,2.816914298837872810e+00,2.855063411256226313e+00
9.000000000000000000e+01,2.074521160766579480e-03,2.839371054580106968e+00,2.839347063227789736e+00,2.819328198297600618e+00,2.857508240086219509e+00
9.100000000000000000e+01,2.042223655371000219e-03,2.841638926497791928e+00,2.841610699082663949e+00,2.821626722861495296e+00,2.859683247189943156e+00
9.200000000000000000e+01,2.010749048286174581e-03,2.843855271986543531e+00,2.843822946876311875e+00,2.823809025826042873e+00,2.861827785720945982e+00
9.300000000000000000e+01,1.980068445788276711e-03,2.846021085700549680e+00,2.845984802452880214e+00,2.825866887190366494e+00,2.863832395360197403e+00
9.400000000000000000e+01,1.950154246696456832e-03,2.848137335193876574e+00,2.848097234204866268e+00,2.827897907015379353e+00,2.865894015351430735e+00
9.500000000000000000e+01,1.920980072177605772e-03,2.850204961858629371e+00,2.850161184031884343e+00,2.830028201342941419e+00,2.867898573548518293e+00
9.600000000000000000e+01,1.892520700029591985e-03,2.852224881825093483e+00,2.852177568261307083e+00,2.832064855710624940e+00,2.869882305563312030e+00
9.700000000000000000e+01,1.864752003115174037e-03,2.854197986825686151e+00,2.854147278532098930e+00,2.834151760832834821e+00,2.871811836387358152e+00
9.800000000000000000e+01,1.837650891645875540e-03,2.856125145022903489e+00,2.856071182642081929e+00,2.836197805450299647e+00,2.873685788804289043e+00
9.900000000000000000e+01,1.811195259039627675e-03,2.858007201804539488e+00,2.857950125362315408e+00,2.838155839519796775e+00,2.875506379099957321e+00
1.000000000000000000e+02,1.785363931098304891e-03,2.859844980547301851e+00,2.859784929218760485e+00,2.840243170431775876e+00,2.877272415279326978e+00
1.010000000000000000e+02,1.760136618271610810e-03,2.861639283349306950e+00,2.861576395242285464e+00,2.842018902860886875e+00,2.879020927489022608e+00
1.020000000000000000e+02,1.735493870792288599e-03,2.863390891733983867e+00,2.863325303689785439e+00,2.843733763328105457e+00,2.880813034938693118e+00
1.030000000000000000e+02,1.711417036484485371e-03,2.865100567326518188e+00,2.865032414736843780e+00,2.845372701650403346e+00,2.882642254163795048e+00
1.040000000000000000e+02,1.687888221062541338e-03,2.866769052503424398e+00,2.866698469142958672e+00,2.847181529121808108e+00,2.884422218414157246e+00
1.050000000000000000e+02,1.664890250751531985e-03,2.868397071017668498e+00,2.868324188891476112e+00,2.849128368636674846e+00,2.886025857496732794e+00
