sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
2.200000000000000000e+01,1.246602986164916695e-02,2.597972232296203998e+00,2.598115551001201062e+00,2.592076326128883945e+00,2.603851949694541368e+00
2.300000000000000000e+01,1.176699521122443609e-02,2.606931257553932291e+00,2.607078460083972260e+00,2.600939066583067394e+00,2.612843171350473614e+00
2.400000000000000000e+01,1.113230170410010531e-02,2.615454695013809783e+00,2.615605546399871528e+00,2.609347779746831186e+00,2.621502285600156856e+00
2.500000000000000000e+01,1.055382726296198379e-02,2.623603507856615114e+00,2.623757805485858352e+00,2.617315721165834663e+00,2.629812366005066959e+00
2.600000000000000000e+01,1.002473937496331166e-02,2.631405532604250030e+00,2.631563098701170222e+00,2.624890149622339131e+00,2.637777201011495709e+00
2.700000000000000000e+01,9.539244391646824889e-03,2.638894813259379024e+00,2.639055489577182723e+00,2.632315695988097559e+00,2.645364536877273576e+00
2.800000000000000000e+01,9.092403725054777272e-03,2.646093364249271218e+00,2.646257007400585337e+00,2.639394983977294551e+00,2.652676665718896043e+00
2.900000000000000000e+01,8.679981921577439169e-03,2.653022430588594549e+00,2.653188908462134954e+00,2.646253334905964483e+00,2.659764992785976556e+00
3.000000000000000000e+01,8.298328320397934527e-03,2.659698049229950900e+00,2.659867238438603732e+00,2.652657453738108018e+00,2.666618638009023101e+00
3.100000000000000000e+01,7.944280333389704477e-03,2.666134500256348794e+00,2.666306284307216945e+00,2.658909029447939609e+00,2.673178440156439351e+00
3.200000000000000000e+01,7.615085743734763615e-03,2.672343418605898968e+00,2.672517686829319228e+00,2.664945259719100346e+00,2.679552394084468325e+00
3.300000000000000000e+01,7.308338949971291895e-03,2.678334985580211658e+00,2.678511632516468843e+00,2.670836245426370326e+00,2.685713919614549638e+00
3.400000000000000000e+01,7.021928777183652701e-03,2.684117886673507591e+00,2.684296811895722001e+00,2.676345426411014472e+00,2.691629186070461976e+00
3.500000000000000000e+01,6.753995284389348493e-03,2.689699795665640991e+00,2.689880903843638649e+00,2.681689819685961762e+00,2.697306592842527273e+00
3.600000000000000000e+01,6.502893927573688906e-03,2.695087487933804926e+00,2.695270689095100813e+00,2.687005299936488623e+00,2.702794973002411449e+00
3.700000000000000000e+01,6.267165616068110477e-03,2.700287071732567323e+00,2.700472281609895830e+00,2.692152974896347750e+00,2.708171802082215862e+00
3.800000000000000000e+01,6.045511595425700005e-03,2.705304096374832934e+00,2.705491236803713839e+00,2.697006636956298387e+00,2.713330095566770961e+00
3.900000000000000000e+01,5.836772266494776387e-03,2.710143676271099533e+00,2.710332675581221373e+00,2.701597534835447068e+00,2.718286445227682258e+00
4.000000000000000000e+01,5.639909250608383245e-03,2.714810567645332462e+00,2.715001361025033866e+00,2.705937355689154611e+00,2.723124439273109321e+00
4.100000000000000000e+01,5.453990135641968717e-03,2.719309239224685371e+00,2.719501769034496252e+00,2.710152619436834609e+00,2.727815042427403025e+00
4.200000000000000000e+01,5.278175451425663744e-03,2.723643921528167144e+00,2.723838137556453987e+00,2.714211134962154937e+00,2.732331302229338288e+00
4.300000000000000000e+01,5.111707505045904459e-03,2.727818648050260197e+00,2.728014507705079250e+00,2.718238298414370924e+00,2.736600650418250069e+00
4.400000000000000000e+01,4.953900775713043075e-03,2.731837285431301332e+00,2.732034753870025146e+00,2.721931209874966395e+00,2.740688595966764396e+00
4.500000000000000000e+01,4.804133622149996813e-03,2.735703557468891489e+00,2.735902607668794673e+00,2.725481793736410197e+00,2.744768177709799417e+00
4.600000000000000000e+01,4.661841099253672890e-03,2.739421063028992798e+00,2.739621675805035128e+00,2.728990878894428818e+00,2.748546789233210053e+00
4.700000000000000000e+01,4.526508715632828438e-03,2.742993289927913914e+00,2.743195453904261338e+00,2.732483920573115288e+00,2.752157021295332573e+00
4.800000000000000000e+01,4.397666992151948000e-03,2.746423625346515962e+00,2.746627336889422288e+00,2.735718214440033602e+00,2.755722637734652647e+00
4.900000000000000000e+01,4.274886704723398004e-03,2.749715363794572376e+00,2.749920626914120092e+00,2.738876888085738148e+00,2.759146362887388015e+00
5.000000000000000000e+01,4.157774713571150450e-03,2.752871713118157704e+00,2.753078539345612086e+00,2.741904585975058151e+00,2.762406707629674329e+00
5.100000000000000000e+01,4.045970296753238597e-03,2.755895799098328158e+00,2.756104207345873469e+00,2.744791312821472484e+00,2.765552768915001902e+00
5.200000000000000000e+01,3.939141918588819763e-03,2.758790668979916649e+00,2.759000685388571128e+00,2.747459663233163596e+00,2.768587638683543073e+00
5.300000000000000000e+01,3.836984374276498563e-03,2.761559294239184670e+00,2.761770952019566128e+00,2.750002756090801359e+00,2.771542263862982747e+00
5.400000000000000000e+01,3.739216260841012485e-03,2.764204572800593951e+00,2.764417912071031047e+00,2.752423147014477767e+00,2.774343584896744819e+00
5.500000000000000000e+01,3.645577731926367710e-03,2.766729330876199544e+00,2.766944398501573588e+00,2.754789670030608928e+00,2.776984658342478429e+00
5.600000000000000000e+01,3.555828500133561328e-03,2.769136324550369732e+00,2.769353173984132166e+00,2.757068958383807722e+00,2.779518835551153533e+00
5.700000000000000000e+01,3.469746055790808720e-03,2.771428241204058285e+00,2.771646932335606550e+00,2.759244972928591721e+00,2.781951055715112808e+00
5.800000000000000000e+01,3.387124075417332573e-03,2.773607700844781032e+00,2.773828299853462465e+00,2.761318370731426164e+00,2.784259699299560076e+00
5.900000000000000000e+01,3.307770996837459173e-03,2.775677257390297026e+00,2.775899836607033766e+00,2.763200327675586543e+00,2.786342341684415302e+00
6.000000000000000000e+01,3.231508741034672116e-03,2.777639399938120146e+00,2.777864037714862011e+00,2.764934352739415679e+00,2.788422541348449357e+00
6.100000000000000000e+01,3.158171563498420216e-03,2.779496554041662293e+00,2.779723334628656506e+00,2.766566223720858364e+00,2.790397440772576676e+00
6.200000000000000000e+01,3.087605020086865108e-03,2.781251083005283675e+00,2.781480096436147242e+00,2.768138646110028578e+00,2.792267283849623194e+00
6.300000000000000000e+01,3.019665034369240462e-03,2.782905289204686827e+00,2.783136631188369403e+00,2.769638542843356976e+00,2.794005911147176668e+00
6.400000000000000000e+01,2.954217055074601431e-03,2.784461415433832077e+00,2.784695187252981263e+00,2.771013679805550467e+00,2.795706114230699590e+00
6.500000000000000000e+01,2.891135293702493721e-03,2.785921646276965813e+00,2.786157954691617977e+00,2.772268065075343735e+00,2.797286590833518272e+00
6.600000000000000000e+01,2.830302033581661575e-03,2.787288109502092937e+00,2.787527066657935482e+00,2.773478886788568687e+00,2.798770907420594423e+00
6.700000000000000000e+01,2.771607002725194353e-03,2.788562877471193691e+00,2.788804600811083390e+00,2.774533483582270144e+00,2.800162837211748190e+00
6.800000000000000000e+01,2.714946803749741008e-03,2.789747968560607028e+00,2.789992580738694716e+00,2.775497979462142606e+00,2.801406392293622982e+00
6.900000000000000000e+01,2.660224394923562698e-03,2.790845348586951324e+00,2.791092977384140195e+00,2.776387486175460495e+00,2.802546061971975089e+00
7.000000000000000000e+01,2.607348617100900979e-03,2.791856932231814969e+00,2.792107710471527948e+00,2.777204501269205927e+00,2.803594698253182305e+00
7.100000000000000000e+01,2.556233761903588600e-03,2.792784584459726993e+00,2.793038649923066608e+00,2.777942440033622340e+00,2.804563771089948254e+00
7.200000000000000000e+01,2.506799177037241297e-03,2.793630121924320697e+00,2.793887617264009471e+00,2.778670670350240179e+00,2.805513693383363094e+00
7.300000000000000000e+01,2.458968905089889499e-03,2.794395314357835058e+00,2.794656387009946563e+00,2.779180485688406144e+00,2.806410701413123654e+00
7.400000000000000000e+01,2.412671352564161806e-03,2.795081885940144506e+00,2.795346688032650295e+00,2.779682757133592030e+00,2.807152953167006082e+00
7.500000000000000000e+01,2.367838986248284143e-03,2.795691516643266539e+00,2.795960204901408286e+00,2.780056534503261290e+00,2.807886144018810537e+00
7.600000000000000000e+01,2.324408054342408207e-03,2.796225843548525880e+00,2.796498579195880296e+00,2.780325069378767555e+00,2.808582433264629419e+00
7.700000000000000000e+01,2.282318330031118513e-03,2.796686462133568085e+00,2.796963410788823268e+00,2.780577002104315021e+00,2.809200054705362604e+00
7.800000000000000000e+01,2.241512875434910519e-03,2.797074927528269139e+00,2.797356259096958730e+00,2.780796598642385486e+00,2.809702667705081591e+00
7.900000000000000000e+01,2.201937824087390506e-03,2.797392755736331615e+00,2.797678644297623585e+00,2.780957520044928799e+00,2.810046424865513703e+00
8.000000000000000000e+01,2.163542180274354975e-03,2.797641424822749912e+00,2.797932048511046155e+00,2.781115308897853744e+00,2.810442406857382114e+00
8.100000000000000000e+01,2.126277633738804691e-03,2.797822376066389616e+00,2.798117916947406858e+00,2.781208882278809469e+00,2.810742603631534386e+00
8.200000000000000000e+01,2.090098388405170742e-03,2.797937015076101375e+00,2.798237659017794421e+00,2.781207819795378899e+00,2.810922641863519367e+00
8.300000000000000000e+01,2.054961003908685989e-03,2.797986712871804116e+00,2.798292649409780175e+00,2.781106727509652377e+00,2.811113661042836664e+00
8.400000000000000000e+01,2.020824248834011613e-03,2.797972806930035361e+00,2.798284229127767198e+00,2.780941240246378232e+00,2.811180672631411692e+00
8.500000000000000000e+01,1.987648964672705278e-03,2.797896602193540527e+00,2.798213706497720388e+00,2.780688713196653783e+00,2.811131103244539631e+00
8.600000000000000000e+01,1.955397939603290784e-03,2.797759372046769055e+00,2.798082358137728320e+00,2.780345344287583842e+00,2.811019951134822392e+00
