sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
2.100000000000000000e+01,1.324771742508221509e-02,1.323910427611261001e-02,2.593983858057817393e+00,2.588553912528666068e+00,-5.429945529151325445e-03,-6.501609819438147753e-04
2.200000000000000000e+01,1.247258858767489285e-02,1.246602986164916695e-02,2.603286662797918982e+00,2.597972232296203998e+00,-5.314430501714983990e-03,-5.258512280447158460e-04
2.300000000000000000e+01,1.177182090140677963e-02,1.176699521122443609e-02,2.612102179441496475e+00,2.606931257553932291e+00,-5.170921887564183805e-03,-4.099357459445007734e-04
2.400000000000000000e+01,1.113566689060708353e-02,1.113230170410010531e-02,2.620459970761175761e+00,2.615454695013809783e+00,-5.005275747365978134e-03,-3.021989199243346746e-04
2.500000000000000000e+01,1.055596384579984490e-02,1.055382726296198379e-02,2.628424507275868294e+00,2.623603507856615114e+00,-4.820999419253180207e-03,-2.024052818929700237e-04
2.600000000000000000e+01,1.002584472779835013e-02,1.002473937496331166e-02,2.636027473704924073e+00,2.631405532604250030e+00,-4.621941100674042957e-03,-1.102503444895264195e-04
2.700000000000000000e+01,9.539486840046917243e-03,9.539244391646824889e-03,2.643305743259872553e+00,2.638894813259379024e+00,-4.410930000493529235e-03,-2.541524551136209453e-05
2.800000000000000000e+01,9.091926936981757981e-03,9.092403725054777272e-03,2.650283986807728809e+00,2.646093364249271218e+00,-4.190622558457590685e-03,5.244081659738775159e-05
2.900000000000000000e+01,8.678908683964467463e-03,8.679981921577439169e-03,2.656985560480783715e+00,2.653022430588594549e+00,-3.963129892189165560e-03,1.236604338232805134e-04
3.000000000000000000e+01,8.296763659256762430e-03,8.298328320397934527e-03,2.663428357312722206e+00,2.659698049229950900e+00,-3.730308082771305322e-03,1.885869244240279130e-04
3.100000000000000000e+01,7.942314163831596524e-03,7.944280333389704477e-03,2.669628174160363354e+00,2.666134500256348794e+00,-3.493673904014560350e-03,2.475562559665078766e-04
3.200000000000000000e+01,7.612795089585867696e-03,7.615085743734763615e-03,2.675597938996895131e+00,2.672343418605898968e+00,-3.254520390996162860e-03,3.008952851009105700e-04
3.300000000000000000e+01,7.305789824715920588e-03,7.308338949971291895e-03,2.681348899108902284e+00,2.678334985580211658e+00,-3.013913528690626009e-03,3.489185038896280844e-04
3.400000000000000000e+01,7.019177771294259939e-03,7.021928777183652701e-03,2.686890634841636150e+00,2.684117886673507591e+00,-2.772748168128558177e-03,3.919270859107371052e-04
3.500000000000000000e+01,6.751090912422416657e-03,6.753995284389348493e-03,2.692231559686951048e+00,2.689699795665640991e+00,-2.531764021310056734e-03,4.302077996887199163e-04
3.600000000000000000e+01,6.499877770815991156e-03,6.502893927573688906e-03,2.697379065843628076e+00,2.695087487933804926e+00,-2.291577909823150350e-03,4.640328424696527065e-04
3.700000000000000000e+01,6.264073294935155502e-03,6.267165616068110477e-03,2.702339772922971228e+00,2.700287071732567323e+00,-2.052701190403904974e-03,4.936597940921050309e-04
3.800000000000000000e+01,6.042373597696858341e-03,6.045511595425700005e-03,2.707119656830746290e+00,2.705304096374832934e+00,-1.815560455913356463e-03,5.193319608767232864e-04
3.900000000000000000e+01,5.833614654402516538e-03,5.836772266494776387e-03,2.711724188080296027e+00,2.710143676271099533e+00,-1.580511809196494255e-03,5.412788261351941799e-04
4.000000000000000000e+01,5.636754265330628025e-03,5.639909250608383245e-03,2.716158422382272786e+00,2.714810567645332462e+00,-1.347854736940323761e-03,5.597166612638648786e-04
4.100000000000000000e+01,5.450856715085591886e-03,5.453990135641968717e-03,2.720427081872815567e+00,2.719309239224685371e+00,-1.117842648130196181e-03,5.748491879642436686e-04
4.200000000000000000e+01,5.275079674425088051e-03,5.278175451425663744e-03,2.724534613734701960e+00,2.723643921528167144e+00,-8.906922065348155115e-04,5.868682923566570508e-04
4.300000000000000000e+01,5.108662973105126785e-03,5.111707505045904459e-03,2.728485238710478544e+00,2.727818648050260197e+00,-6.665906602183468976e-04,5.959547452643043641e-04
4.400000000000000000e+01,4.950918941595689772e-03,4.953900775713043075e-03,2.732282987434370813e+00,2.731837285431301332e+00,-4.457020030694813784e-04,6.022789208486312162e-04
4.500000000000000000e+01,4.801224073189479420e-03,4.804133622149996813e-03,2.735931729298879400e+00,2.735703557468891489e+00,-2.281718299879109679e-04,6.060014938200630752e-04
4.600000000000000000e+01,4.659011802010963078e-03,4.661841099253672890e-03,2.739435194295982257e+00,2.739421063028992798e+00,-1.413126698945887938e-05,6.072741093912092936e-04
4.700000000000000000e+01,4.523766227514062523e-03,4.526508715632828438e-03,2.742796989951132858e+00,2.742993289927913914e+00,1.962999767810558183e-04,6.062400179049909354e-04
4.800000000000000000e+01,4.395016644732917081e-03,4.397666992151948000e-03,2.746020614117028913e+00,2.746423625346515962e+00,4.030112294870491496e-04,6.030346715995005269e-04
4.900000000000000000e+01,4.272332762809394856e-03,4.274886704723398004e-03,2.749109464729033281e+00,2.749715363794572376e+00,6.058990655390950053e-04,5.977862811237244500e-04
5.000000000000000000e+01,4.155320513412279378e-03,4.157774713571150450e-03,2.752066847140527628e+00,2.752871713118157704e+00,8.048659776300759461e-04,5.906163317486168296e-04
5.100000000000000000e+01,4.043618366325297045e-03,4.045970296753238597e-03,2.754895979663996908e+00,2.755895799098328158e+00,9.998194343312505339e-04,5.816400596871940110e-04
5.200000000000000000e+01,3.936894082418454684e-03,3.939141918588819763e-03,2.757599997739752506e+00,2.758790668979916649e+00,1.190671240164142830e-03,5.709668899662734276e-04
5.300000000000000000e+01,3.834841844925705213e-03,3.836984374276498563e-03,2.760181957100518169e+00,2.761559294239184670e+00,1.377337138666501204e-03,5.587008375922408732e-04
5.400000000000000000e+01,3.737179718858115157e-03,3.739216260841012485e-03,2.762644836199276366e+00,2.764204572800593951e+00,1.559736601317585070e-03,5.449408741626804442e-04
5.500000000000000000e+01,3.643647395809926793e-03,3.645577731926367710e-03,2.764991538117278491e+00,2.766729330876199544e+00,1.737792758921052894e-03,5.297812622211406364e-04
5.600000000000000000e+01,3.554004187634524168e-03,3.555828500133561328e-03,2.767224892112635892e+00,2.769136324550369732e+00,1.911432437733839862e-03,5.133118597284713758e-04
5.700000000000000000e+01,3.468027237690376758e-03,3.469746055790808720e-03,2.769347654934895875e+00,2.771428241204058285e+00,2.080586269162409963e-03,4.956183970390437565e-04
5.800000000000000000e+01,3.385509922758240132e-03,3.387124075417332573e-03,2.771362511996297240e+00,2.773607700844781032e+00,2.245188848483792299e-03,4.767827287233128430e-04
