rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,1.700000000000000000e+01,3.400000000000000355e+00,1.077249265071725665e-01,2.399044482818843971e+00,2.399063915407053660e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.800000000000000000e+01,3.600000000000000089e+00,1.005867628215376675e-01,2.414705152367264240e+00,2.414727277079755652e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.900000000000000000e+01,3.800000000000000266e+00,9.423118348244417797e-02,2.428610297460642276e+00,2.428635052278452999e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000000e+01,4.000000000000000000e+00,8.854198268746571454e-02,2.441114013407247540e+00,2.441141308355004202e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.100000000000000000e+01,4.200000000000000178e+00,8.342412974678245496e-02,2.452482532990713171e+00,2.452512260682680800e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.200000000000000000e+01,4.400000000000000355e+00,7.879930549537357554e-02,2.462917248038777096e+00,2.462949292802437018e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.300000000000000000e+01,4.600000000000000533e+00,7.460248571778098359e-02,2.472571754170217240e+00,2.472605999504086771e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.400000000000000000e+01,4.800000000000000711e+00,7.077930553986608309e-02,2.481564377260259580e+00,2.481600711598014097e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.500000000000000000e+01,5.000000000000000000e+00,6.728401058132467416e-02,2.489987334671895258e+00,2.490025655562862816e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.600000000000000000e+01,5.200000000000000178e+00,6.407785217292895352e-02,2.497913418177402090e+00,2.497953635071212375e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.700000000000000000e+01,5.400000000000000355e+00,6.112782109091131899e-02,2.505400866915186597e+00,2.505442902772272440e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.800000000000000000e+01,5.600000000000000533e+00,5.840564121167689249e-02,2.512496926180865842e+00,2.512540718134777862e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.900000000000000000e+01,5.800000000000000711e+00,5.588696416176986564e-02,2.519240455463207962e+00,2.519285954747327860e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.000000000000000000e+01,6.000000000000000000e+00,5.355072048583713051e-02,2.525663849692282525e+00,2.525711021020121017e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.100000000000000000e+01,6.200000000000000178e+00,5.137859353323470657e-02,2.531794464171136738e+00,2.531843284731621235e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.200000000000000000e+01,6.400000000000000355e+00,4.935459020569704647e-02,2.537655680016240645e+00,2.537706138217529439e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.300000000000000000e+01,6.600000000000000533e+00,4.746468865291092465e-02,2.543267708151029538e+00,2.543319802219901504e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.400000000000000000e+01,6.800000000000000711e+00,4.569654748059429061e-02,2.548648202063946933e+00,2.548701938584410964e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.500000000000000000e+01,7.000000000000000000e+00,4.403926443005955899e-02,2.553812729669108439e+00,2.553868122123423401e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.600000000000000000e+01,7.200000000000000178e+00,4.248317507754428846e-02,2.558775140467347775e+00,2.558832207825830540e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.700000000000000000e+01,7.400000000000000355e+00,4.101968408904449470e-02,2.563547854159673012e+00,2.563606619552099897e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.800000000000000000e+01,7.600000000000000533e+00,3.964112310119894539e-02,2.568142089727477817e+00,2.568202579217246040e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.900000000000000000e+01,7.800000000000000711e+00,3.834063049114298793e-02,2.572568048911467287e+00,2.572630290385822693e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.000000000000000000e+01,8.000000000000000000e+00,3.711204923000317041e-02,2.576835064395643027e+00,2.576899086577910669e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.100000000000000000e+01,8.200000000000001066e+00,3.594983974695675072e-02,2.580951720394550897e+00,2.581017551979634117e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.200000000000000000e+01,8.400000000000000355e+00,3.484900530944667202e-02,2.584925951457652804e+00,2.584993620368604361e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.300000000000000000e+01,8.599999999999999645e+00,3.380502788488831678e-02,2.588765123933906676e+00,2.588834656694049219e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.400000000000000000e+01,8.800000000000000711e+00,3.281381281637662378e-02,2.592476103525971798e+00,2.592547524740115072e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.500000000000000000e+01,9.000000000000000000e+00,3.187164093961489253e-02,2.596065311611187809e+00,2.596138643547816205e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.600000000000000000e+01,9.200000000000001066e+00,3.097512700598859664e-02,2.599538772440095347e+00,2.599614034705722165e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.700000000000000000e+01,9.400000000000000355e+00,3.012118346932524809e-02,2.602902152891001908e+00,2.602979362187934242e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.800000000000000000e+01,9.600000000000001421e+00,2.930698885067090434e-02,2.606160796125574386e+00,2.606239966084224147e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.900000000000000000e+01,9.800000000000000711e+00,2.852996002359383526e-02,2.609319750231255952e+00,2.609400891308227166e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.000000000000000000e+01,1.000000000000000000e+01,2.778772786775515757e-02,2.612383792731561183e+00,2.612466912165158028e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.100000000000000000e+01,1.020000000000000107e+01,2.707811582522266086e-02,2.615357451681050716e+00,2.615442553496411193e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.200000000000000000e+01,1.040000000000000036e+01,2.639912096577518366e-02,2.618245023932729953e+00,2.618332108989227969e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.300000000000000000e+01,1.060000000000000142e+01,2.574889722705267850e-02,2.621050591059771673e+00,2.621139657134006651e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.400000000000000000e+01,1.080000000000000071e+01,2.512574054509398094e-02,2.623778033326026105e+00,2.623869075223853820e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.500000000000000000e+01,1.100000000000000000e+01,2.452807563236255456e-02,2.626431042031905694e+00,2.626524051724272724e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.600000000000000000e+01,1.120000000000000107e+01,2.395444419523682852e-02,2.629013130503518703e+00,2.629108097280882905e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.700000000000000000e+01,1.140000000000000036e+01,2.340349441230556507e-02,2.631527643945864803e+00,2.631624554586441178e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.800000000000000000e+01,1.160000000000000142e+01,2.287397151960674641e-02,2.633977768342399717e+00,2.634076607290661620e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.900000000000000000e+01,1.180000000000000071e+01,2.236470936995485145e-02,2.636366538551166094e+00,2.636467288102763096e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.000000000000000000e+01,1.200000000000000000e+01,2.187462285134622597e-02,2.638696845721480333e+00,2.638799486211387268e+00,0.000000000000000000e+00
