job,observable,mean,sd,tau_int,effective_samples,half_mean_difference,split_z,screen_pass
341d14fabe08e6c5b531,N0,1554.51015625,18.422287127106387,4.8555279645262654,131.80852930427767,-2.9953124999999545,0.9360769084094536,True
341d14fabe08e6c5b531,N3,10004.20234375,110.1782924722926,5.879887130393093,108.84562676243303,-18.66093749999891,0.8863539782052852,True
341d14fabe08e6c5b531,N31,2853.0203125,36.84457425421277,4.8555279645262654,131.80852930427767,-5.990624999999909,0.9360769084094536,True
341d14fabe08e6c5b531,peak_slice,282.415625,20.2669226290967,40.04532619669778,15.981890042708049,-5.643750000000011,0.5618865209889804,False
6e6f2fe5d7f4709d8982,N0,450.046875,15.9323665887435,10.39318234954057,6.157882912814391,12.28125,1.033117307539846,False
6e6f2fe5d7f4709d8982,N3,2913.9921875,117.73488809818492,11.101774479834551,5.764844180202964,90.984375,1.0025850425995035,False
6e6f2fe5d7f4709d8982,N31,836.09375,31.864733177487,10.39318234954057,6.157882912814391,24.5625,1.033117307539846,False
6e6f2fe5d7f4709d8982,peak_slice,94.1875,10.929804660709168,10.350514585324458,6.18326745713134,10.625,1.3792185826378263,False
b3a0a98d4955072c7e32,N0,61.25,2.217355782608345,0.5,4.0,3.5,3.1304951684997055,False
b3a0a98d4955072c7e32,N3,267.0,9.486832980505138,0.5,4.0,15.0,3.162277660168379,False
b3a0a98d4955072c7e32,N31,90.5,4.43471156521669,0.5,4.0,7.0,3.1304951684997055,False
b3a0a98d4955072c7e32,peak_slice,20.0,1.632993161855452,0.5,4.0,-2.0,1.414213562373095,False
ba00c6fedfc34568c04a,N0,61.25,2.217355782608345,0.5,4.0,3.5,3.1304951684997055,False
ba00c6fedfc34568c04a,N3,267.0,9.486832980505138,0.5,4.0,15.0,3.162277660168379,False
ba00c6fedfc34568c04a,N31,90.5,4.43471156521669,0.5,4.0,7.0,3.1304951684997055,False
ba00c6fedfc34568c04a,peak_slice,20.0,1.632993161855452,0.5,4.0,-2.0,1.414213562373095,False
