sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
2.000000000000000000e+01,1.408379245588516245e-02,1.409159268965124584e-02,2.583652399088434581e+00,2.578045068956398289e+00,-5.607330132036292270e-03,5.538446970527743929e-04
2.100000000000000000e+01,1.322422489434584708e-02,1.323336548676778621e-02,2.593392452362028422e+00,2.587704193649634110e+00,-5.688258712394311800e-03,6.912006181811758410e-04
2.200000000000000000e+01,1.245066840686923082e-02,1.246092433887946785e-02,2.602524912531484436e+00,2.596785082280010037e+00,-5.739830251474398182e-03,8.237254157839046798e-04
2.300000000000000000e+01,1.175135331677558057e-02,1.176253173973950891e-02,2.611181164672977228e+00,2.605414992634216720e+00,-5.766172038760508656e-03,9.512455853037948827e-04
2.400000000000000000e+01,1.111654177903524318e-02,1.112847753252933086e-02,2.619389849782916890e+00,2.613618863267817005e+00,-5.770986515099885139e-03,1.073693036138134715e-03
2.500000000000000000e+01,1.053808012091338696e-02,1.055063178980322758e-02,2.627214968382753479e+00,2.621457425050997880e+00,-5.757543331755599070e-03,1.191077382770133752e-03
2.600000000000000000e+01,1.000910970576802776e-02,1.002215625075498009e-02,2.634687784282684575e+00,2.628959044645727605e+00,-5.728739636956969861e-03,1.303467078538789181e-03
2.700000000000000000e+01,9.523815541169837820e-03,9.537253392792649845e-03,2.641844946326091570e+00,2.636157815342128341e+00,-5.687130983963228914e-03,1.410973528910064445e-03
2.800000000000000000e+01,9.077241411057604403e-03,9.090981988965773572e-03,2.648710971550264137e+00,2.643076002393545121e+00,-5.634969156719016325e-03,1.513739393493640506e-03
2.900000000000000000e+01,8.665137365567027877e-03,8.679104952320243482e-03,2.655309141118668226e+00,2.649734910796996079e+00,-5.574230321672146715e-03,1.611929062858230566e-03
3.000000000000000000e+01,8.283840774649360930e-03,8.297970699771495956e-03,2.661657298707391206e+00,2.656150654458449001e+00,-5.506644248942205166e-03,1.705721477092581040e-03
3.100000000000000000e+01,7.930179190261182551e-03,7.944416275491073681e-03,2.667771201719615792e+00,2.662337484439572410e+00,-5.433717280043381948e-03,1.795304354203608455e-03
3.200000000000000000e+01,7.601392269221781371e-03,7.615689498409182988e-03,2.673663721590433973e+00,2.668306966007219838e+00,-5.356755583214134475e-03,1.880869803982054833e-03
3.300000000000000000e+01,7.295067729517549365e-03,7.309385108630034496e-03,2.679346018845817579e+00,2.674069134572065298e+00,-5.276884273752280308e-03,1.962610854804536231e-03
3.400000000000000000e+01,7.009088915334101173e-03,7.023392495024690339e-03,2.684827543902105873e+00,2.679632477666026080e+00,-5.195066236079792787e-03,2.040718824282139465e-03
3.500000000000000000e+01,6.741591406648492560e-03,6.755852442951681969e-03,2.690116531001492284e+00,2.685004412692042930e+00,-5.112118309449353859e-03,2.115381286549755657e-03
3.600000000000000000e+01,6.490927015668880758e-03,6.505121248715502180e-03,2.695220139775751811e+00,2.690191412987886554e+00,-5.028726787865256398e-03,2.186780564988222153e-03
3.700000000000000000e+01,6.255633706136123559e-03,6.269740739514474172e-03,2.700144703738710739e+00,2.695199242567928977e+00,-4.945461170781761950e-03,2.255092615878862006e-03
3.800000000000000000e+01,6.034410361070156013e-03,6.048413127303699580e-03,2.704895860775446970e+00,2.700033073709721343e+00,-4.862787065725626690e-03,2.320486244004937859e-03
3.900000000000000000e+01,5.826095505928777923e-03,5.839979805641315296e-03,2.709478695112899960e+00,2.704697617289900879e+00,-4.781077822999080240e-03,2.383122572983564780e-03
4.000000000000000000e+01,5.629649293146898707e-03,5.643403397423207152e-03,2.713897832633977991e+00,2.709197207330104717e+00,-4.700625303873273708e-03,2.443154726005980493e-03
4.100000000000000000e+01,5.444138180549758579e-03,5.457752487537910827e-03,2.718157527766064785e+00,2.713535878117928846e+00,-4.621649648135939259e-03,2.500727670137425918e-03
4.200000000000000000e+01,5.268721849789338371e-03,5.282188587939756069e-03,2.722261728164282690e+00,2.717717419936607648e+00,-4.544308227675042389e-03,2.555978192501529023e-03
4.300000000000000000e+01,5.102641993692033813e-03,5.115954965137095925e-03,2.726214129514451745e+00,2.721745425747238212e+00,-4.468703767213533240e-03,2.609034978648283598e-03
4.400000000000000000e+01,4.945212670694989175e-03,4.958367029226017422e-03,2.730018218090219051e+00,2.725623326356809262e+00,-4.394891733409789225e-03,2.660018771079464273e-03
