sigma,P_mean,Ds_of_mean_P,mean_of_Ds
4.500000000000000000e+01,5.096672844427663218e-03,2.540837921959438361e+00,2.541715396217241629e+00
4.600000000000000000e+01,4.956465083772829995e-03,2.538879845866394369e+00,2.539740319185277428e+00
4.700000000000000000e+01,4.823110468168286501e-03,2.536724182058114785e+00,2.537566479796539376e+00
4.800000000000000000e+01,4.696148042127295391e-03,2.534374689519356405e+00,2.535197767323214002e+00
4.900000000000000000e+01,4.575156327830717795e-03,2.531835172608791762e+00,2.532638113528120183e+00
5.000000000000000000e+01,4.459749231699020044e-03,2.529109478717275206e+00,2.529891489498265589e+00
5.100000000000000000e+01,4.349572446738876261e-03,2.526201495030300226e+00,2.526961901749149142e+00
5.200000000000000000e+01,4.244300282332464161e-03,2.523115144620710737e+00,2.523853387806549886e+00
5.300000000000000000e+01,4.143632863649049369e-03,2.519854382072581611e+00,2.520570011448019176e+00
5.400000000000000000e+01,4.047293651593482713e-03,2.516423188782450637e+00,2.517115857733112971e+00
5.500000000000000000e+01,3.955027241488274538e-03,2.512825568059807502e+00,2.513495027928810188e+00
5.600000000000000000e+01,3.866597404779213883e-03,2.509065540119887139e+00,2.509711634409205860e+00
5.700000000000000000e+01,3.781785343169551117e-03,2.505147137044832384e+00,2.505769795592879934e+00
5.800000000000000000e+01,3.700388128895717218e-03,2.501074397773385805e+00,2.501673630966398054e+00
5.900000000000000000e+01,3.622217308497040038e-03,2.496851363166693094e+00,2.497427256231881998e+00
6.000000000000000000e+01,3.547097650515940517e-03,2.492482071188074411e+00,2.493034778607728263e+00
6.100000000000000000e+01,3.474866020185967980e-03,2.487970552227156240e+00,2.488500292304792083e+00
6.200000000000000000e+01,3.405370366398605044e-03,2.483320824591740639e+00,2.483827874194799001e+00
6.300000000000000000e+01,3.338468808148463765e-03,2.478536890185218944e+00,2.479021579683163168e+00
6.400000000000000000e+01,3.274028809291801116e-03,2.473622730383341572e+00,2.474085438794608294e+00
6.500000000000000000e+01,3.211926431857930857e-03,2.468582302120199579e+00,2.469023452477265845e+00
6.600000000000000000e+01,3.152045659362623115e-03,2.463419534189590365e+00,2.463839589128039798e+00
6.700000000000000000e+01,3.094277782616546100e-03,2.458138323766103639e+00,2.458537781339982686e+00
6.800000000000000000e+01,3.038520841424895754e-03,2.452742533147544535e+00,2.453121922870989735e+00
6.900000000000000000e+01,2.984679116357456287e-03,2.447235986717931411e+00,2.447595865830970219e+00
