sigma,P_mean,Ds_of_mean_P,mean_of_Ds
6.900000000000000000e+01,3.472254837688543237e-03,2.239474373207720248e+00,2.248710035633183058e+00
7.000000000000000000e+01,3.416831321895241313e-03,2.234755347670613013e+00,2.244172602848923948e+00
7.100000000000000000e+01,3.363172236707202660e-03,2.230027761469071557e+00,2.239625317124457116e+00
7.200000000000000000e+01,3.311197977466239992e-03,2.225293046928330742e+00,2.235069559273613837e+00
7.300000000000000000e+01,3.260833544536941887e-03,2.220552573372336358e+00,2.230506649063053626e+00
7.400000000000000000e+01,3.212008219676372282e-03,2.215807649307393046e+00,2.225937847398722358e+00
7.500000000000000000e+01,3.164655269093737469e-03,2.211059524596850956e+00,2.221364358500746317e+00
7.600000000000000000e+01,3.118711670679101371e-03,2.206309392616282228e+00,2.216787332056084026e+00
7.700000000000000000e+01,3.074117863147930643e-03,2.201558392380484896e+00,2.212207865339900881e+00
7.800000000000000000e+01,3.030817515084554756e-03,2.196807610634172736e+00,2.207627005297644551e+00
7.900000000000000000e+01,2.988757312076378066e-03,2.192058083900680465e+00,2.203045750582204310e+00
8.000000000000000000e+01,2.947886760315513062e-03,2.187310800483280637e+00,2.198465053540525016e+00
8.100000000000000000e+01,2.908158005208380699e-03,2.182566702414952875e+00,2.193885822145973830e+00
8.200000000000000000e+01,2.869525663679348831e-03,2.177826687353715762e+00,2.189308921873539759e+00
8.300000000000000000e+01,2.831946668983901811e-03,2.173091610421215680e+00,2.184735177515419569e+00
8.400000000000000000e+01,2.795380126962129265e-03,2.168362285982177173e+00,2.180165374935493450e+00
8.500000000000000000e+01,2.759787182766178584e-03,2.163639489364664215e+00,2.175600262762043435e+00
8.600000000000000000e+01,2.725130897187125027e-03,2.158923958519875619e+00,2.171040554018053292e+00
8.700000000000000000e+01,2.691376131788968725e-03,2.154216395621700642e+00,2.166486927689335928e+00
8.800000000000000000e+01,2.658489442130978955e-03,2.149517468606265691e+00,2.161940030230956378e+00
8.900000000000000000e+01,2.626438978425720255e-03,2.144827812651679544e+00,2.157400477012634710e+00
9.000000000000000000e+01,2.595194393039294140e-03,2.140148031599738765e+00,2.152868853704223540e+00
9.100000000000000000e+01,2.564726754293701096e-03,2.135478699319746987e+00,2.148345717602671900e+00
9.200000000000000000e+01,2.535008466079187884e-03,2.130820361016200870e+00,2.143831598901610569e+00
9.300000000000000000e+01,2.506013192827723050e-03,2.126173534481591965e+00,2.139327001905247716e+00
9.400000000000000000e+01,2.477715789437768320e-03,2.121538711296324209e+00,2.134832406188604370e+00
9.500000000000000000e+01,2.450092235775783080e-03,2.116916357976438512e+00,2.130348267705311827e+00
9.600000000000000000e+01,2.423119575411822844e-03,2.112306917071346657e+00,2.125875019844788216e+00
9.700000000000000000e+01,2.396775858275435392e-03,2.107710808214013909e+00,2.121413074441432123e+00
9.800000000000000000e+01,2.371040086944260425e-03,2.103128429123895415e+00,2.116962822736803140e+00
9.900000000000000000e+01,2.345892166301508184e-03,2.098560156565129731e+00,2.112524636296684744e+00
1.000000000000000000e+02,2.321312856320032099e-03,2.094006347262105550e+00,2.108098867885603855e+00
1.010000000000000000e+02,2.297283727750355428e-03,2.089467338773583371e+00,2.103685852300160697e+00
1.020000000000000000e+02,2.273787120507849997e-03,2.084943450326869119e+00,2.099285907162639297e+00
1.030000000000000000e+02,2.250806104570547261e-03,2.080434983614717126e+00,2.094899333677284314e+00
1.040000000000000000e+02,2.228324443213848711e-03,2.075942223555524269e+00,2.090526417350696775e+00
1.050000000000000000e+02,2.206326558422004157e-03,2.071465439018551180e+00,2.086167428677640601e+00
1.060000000000000000e+02,2.184797498328516080e-03,2.067004883517144176e+00,2.081822623794692184e+00
1.070000000000000000e+02,2.163722906548975079e-03,2.062560795869173624e+00,2.077492245102484869e+00
1.080000000000000000e+02,2.143088993280179485e-03,2.058133400827739656e+00,2.073176521858443255e+00
1.090000000000000000e+02,2.122882508048824779e-03,2.053722909683297182e+00,2.068875670741375572e+00
1.100000000000000000e+02,2.103090714001777575e-03,2.049329520838361063e+00,2.064589896389521950e+00
1.110000000000000000e+02,2.083701363637871420e-03,2.044953420355892781e+00,2.060319391912909470e+00
1.120000000000000000e+02,2.064702675888520789e-03,2.040594782482752834e+00,2.056064339381511452e+00
