sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
2.200000000000000000e+01,1.247258858767489285e-02,2.603286662797918982e+00,2.603435050352953084e+00,2.596439165741315502e+00,2.609662280007120305e+00
2.300000000000000000e+01,1.177182090140677963e-02,2.612102179441496475e+00,2.612254600144862771e+00,2.605446100693896927e+00,2.618320334829912444e+00
2.400000000000000000e+01,1.113566689060708353e-02,2.620459970761175761e+00,2.620616453839119231e+00,2.613979626894208153e+00,2.626441687908778633e+00
2.500000000000000000e+01,1.055596384579984490e-02,2.628424507275868294e+00,2.628585101729442819e+00,2.622070468393751241e+00,2.634311728024187005e+00
2.600000000000000000e+01,1.002584472779835013e-02,2.636027473704924073e+00,2.636192248586311848e+00,2.629774782593949478e+00,2.641722739930064900e+00
2.700000000000000000e+01,9.539486840046917243e-03,2.643305743259872553e+00,2.643474783943734696e+00,2.637224480901029011e+00,2.648821937870076138e+00
2.800000000000000000e+01,9.091926936981757981e-03,2.650283986807728809e+00,2.650457393748006485e+00,2.644403048635790121e+00,2.655660017533944206e+00
2.900000000000000000e+01,8.678908683964467463e-03,2.656985560480783715e+00,2.657163446151079800e+00,2.651261656075196260e+00,2.662263495168943006e+00
3.000000000000000000e+01,8.296763659256762430e-03,2.663428357312722206e+00,2.663610844049305371e+00,2.657863371959340526e+00,2.668574430862841407e+00
3.100000000000000000e+01,7.942314163831596524e-03,2.669628174160363354e+00,2.669815391277801542e+00,2.664113135662049103e+00,2.674725299352505914e+00
3.200000000000000000e+01,7.612795089585867696e-03,2.675597938996895131e+00,2.675790020279988024e+00,2.670214736243389897e+00,2.680599330716277429e+00
3.300000000000000000e+01,7.305789824715920588e-03,2.681348899108902284e+00,2.681545980114997008e+00,2.676043091394843199e+00,2.686297797448839120e+00
3.400000000000000000e+01,7.019177771294259939e-03,2.686890634841636150e+00,2.687092850460342408e+00,2.681654638452215966e+00,2.691803908553531244e+00
3.500000000000000000e+01,6.751090912422416657e-03,2.692231559686951048e+00,2.692439041778142528e+00,2.687049266704988781e+00,2.697057753364429544e+00
3.600000000000000000e+01,6.499877770815991156e-03,2.697379065843628076e+00,2.697591941134002802e+00,2.692184571759706824e+00,2.702132351378279118e+00
3.700000000000000000e+01,6.264073294935155502e-03,2.702339772922971228e+00,2.702558161107158519e+00,2.697148220364477655e+00,2.707105255552782808e+00
3.800000000000000000e+01,6.042373597696858341e-03,2.707119656830746290e+00,2.707343668944588000e+00,2.701933490779282465e+00,2.711873699012635086e+00
3.900000000000000000e+01,5.833614654402516538e-03,2.711724188080296027e+00,2.711953925124974241e+00,2.706591608483666977e+00,2.716490436572917666e+00
4.000000000000000000e+01,5.636754265330628025e-03,2.716158422382272786e+00,2.716393974216595897e+00,2.711067077888391630e+00,2.720854047744107884e+00
4.100000000000000000e+01,5.450856715085591886e-03,2.720427081872815567e+00,2.720668526355935590e+00,2.715289454292511895e+00,2.725103932620532632e+00
4.200000000000000000e+01,5.275079674425088051e-03,2.724534613734701960e+00,2.724782016112970773e+00,2.719347427719924326e+00,2.729252082989529704e+00
4.300000000000000000e+01,5.108662973105126785e-03,2.728485238710478544e+00,2.728738651228498124e+00,2.723201337384092646e+00,2.733280691548581220e+00
4.400000000000000000e+01,4.950918941595689772e-03,2.732282987434370813e+00,2.732542449152972175e+00,2.726943629774396527e+00,2.736978547122243643e+00
4.500000000000000000e+01,4.801224073189479420e-03,2.735931729298879400e+00,2.736197266098169489e+00,2.730605030214992013e+00,2.740681967290129695e+00
4.600000000000000000e+01,4.659011802010963078e-03,2.739435194295982257e+00,2.739706819042455610e+00,2.733974438470796020e+00,2.744256980502134180e+00
4.700000000000000000e+01,4.523766227514062523e-03,2.742796989951132858e+00,2.743074702806878484e+00,2.737333301035382416e+00,2.747696784236040912e+00
4.800000000000000000e+01,4.395016644732917081e-03,2.746020614117028913e+00,2.746304402969807157e+00,2.740520712984105600e+00,2.751035518375278599e+00
4.900000000000000000e+01,4.272332762809394856e-03,2.749109464729033281e+00,2.749399305723057907e+00,2.743541385777620523e+00,2.754277760370107853e+00
5.000000000000000000e+01,4.155320513412279378e-03,2.752066847140527628e+00,2.752362705288752931e+00,2.746493725555443355e+00,2.757397166636704089e+00
5.100000000000000000e+01,4.043618366325297045e-03,2.754895979663996908e+00,2.755197809524390973e+00,2.749317562079089505e+00,2.760342373413682271e+00
5.200000000000000000e+01,3.936894082418454684e-03,2.757599997739752506e+00,2.757907744139198147e+00,2.751887028672285407e+00,2.763213294218923810e+00
5.300000000000000000e+01,3.834841844925705213e-03,2.760181957100518169e+00,2.760495555892152453e+00,2.754316416118560706e+00,2.765938943767180636e+00
5.400000000000000000e+01,3.737179718858115157e-03,2.762644836199276366e+00,2.762964215040237814e+00,2.756627425149389854e+00,2.768542453442466300e+00
5.500000000000000000e+01,3.643647395809926793e-03,2.764991538117278491e+00,2.765316617255487941e+00,2.758816556899320371e+00,2.771032101793125868e+00
5.600000000000000000e+01,3.554004187634524168e-03,2.767224892112635892e+00,2.767555585173202104e+00,2.760890549084815682e+00,2.773408105689759484e+00
5.700000000000000000e+01,3.468027237690376758e-03,2.769347654934895875e+00,2.769683869697555423e+00,2.762871515303751746e+00,2.775671765763128018e+00
5.800000000000000000e+01,3.385509922758240132e-03,2.771362511996297240e+00,2.771704151157168283e+00,2.764763724011300994e+00,2.777828852330711307e+00
5.900000000000000000e+01,3.306260422450313548e-03,2.773272078468458357e+00,2.773619040380264966e+00,2.766574207498173621e+00,2.779881446276447843e+00
6.000000000000000000e+01,3.230100436084904804e-03,2.775078900352354605e+00,2.775431079738727380e+00,2.768150709914967589e+00,2.781828033028872937e+00
6.100000000000000000e+01,3.156864029680344231e-03,2.776785455555434545e+00,2.777142744195583823e+00,2.769675647945066377e+00,2.783655839999665371e+00
6.200000000000000000e+01,3.086396598006503188e-03,2.778394154997995358e+00,2.778756442379182179e+00,2.771140417905009645e+00,2.785394147557292310e+00
6.300000000000000000e+01,3.018553928585070590e-03,2.779907343762119787e+00,2.780274517698134495e+00,2.772439947764434365e+00,2.787011001731563020e+00
6.400000000000000000e+01,2.953201356203080403e-03,2.781327302290432790e+00,2.781699249504708149e+00,2.773715412667223212e+00,2.788554905675341367e+00
6.500000000000000000e+01,2.890212997941808692e-03,2.782656247636329017e+00,2.783032854309181570e+00,2.774923204713862113e+00,2.790089882739047233e+00
6.600000000000000000e+01,2.829471059961195800e-03,2.783896334764579095e+00,2.784277487044622301e+00,2.776070445293459699e+00,2.791395674636758972e+00
6.700000000000000000e+01,2.770865208348650792e-03,2.785049657898712727e+00,2.785435242378514253e+00,2.777093636694912160e+00,2.792765698193354851e+00
