sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000020095e-01,2.000000000000020095e-01,3.999999999999950262e+00,3.999999999999950262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000020095e-01,2.000000000000020095e-01,8.700708007812685274e-01,8.705102539062687939e-01,4.394531250002664535e-04,0.000000000000000000e+00
3.000000000000000000e+00,1.129929199218742825e-01,1.129489746093742530e-01,2.769390625709037934e+00,2.771588646871603334e+00,2.198021162565400033e-03,-3.889209388554526470e-04
4.000000000000000000e+00,9.569282226562511595e-02,9.565063476562511713e-02,1.715915743990773734e+00,1.716903301555664507e+00,9.875575648907730653e-04,-4.408637868668074944e-04
5.000000000000000000e+00,7.194271484375003300e-02,7.189325195312505634e-02,2.432601405143584916e+00,2.434570079962038669e+00,1.968674818453752806e-03,-6.875316108434503803e-04
6.000000000000000000e+00,6.069123242187500489e-02,6.064480273437498209e-02,2.128476109750076617e+00,2.129637229643325469e+00,1.161119893248852009e-03,-7.650147417881392187e-04
7.000000000000000000e+00,5.041274179687499357e-02,5.036801367187500322e-02,2.381029358904874105e+00,2.382378077170517194e+00,1.348718265643089609e-03,-8.872384918124920361e-04
8.000000000000000000e+00,4.354348695312497408e-02,4.350256679687499600e-02,2.313831942500630845e+00,2.314679306054953756e+00,8.473635543229107725e-04,-9.397537752093843011e-04
9.000000000000000000e+00,3.781870292187498872e-02,3.778120228125001617e-02,2.409167433077781251e+00,2.409881185433055961e+00,7.137523552747104816e-04,-9.915898147654367278e-04
1.000000000000000000e+01,3.341997723750000232e-02,3.338609918125001047e-02,2.408113116462435865e+00,2.408484661751354228e+00,3.715452889183623597e-04,-1.013706742205022771e-03
1.100000000000000000e+01,2.977079436812500937e-02,2.974021150187500587e-02,2.451365752521280417e+00,2.451525705093037022e+00,1.599525717566052663e-04,-1.027277467703258118e-03
1.200000000000000000e+01,2.678551307937499654e-02,2.675801800199999539e-02,2.465366428091621653e+00,2.465266001987491684e+00,-1.004261041299692181e-04,-1.026490599359553002e-03
1.300000000000000000e+01,2.426778564269999744e-02,2.424307549680001714e-02,2.490176834467515921e+00,2.489865953730888481e+00,-3.108807366274390915e-04,-1.018228290944778180e-03
1.400000000000000000e+01,2.213696864620000315e-02,2.211478659483000209e-02,2.505537588073294852e+00,2.505011816874565866e+00,-5.257711987289859223e-04,-1.002036535558303854e-03
1.500000000000000000e+01,2.030599942633899008e-02,2.028608965767798866e-02,2.522775583277507394e+00,2.522057314641652059e+00,-7.182686358553347361e-04,-9.804870099215934331e-04
1.600000000000000000e+01,1.872180334307899791e-02,1.870394120772179286e-02,2.536504472298969581e+00,2.535599367038176677e+00,-9.051052607929044314e-04,-9.540819882507545202e-04
1.700000000000000000e+01,1.733800330701263520e-02,1.732198331471432318e-02,2.549973339224089308e+00,2.548893906342741822e+00,-1.079432881347486273e-03,-9.239813843980870800e-04
1.800000000000000000e+01,1.612113003788715609e-02,1.610677075380144083e-02,2.561837361190886231e+00,2.560590756577922900e+00,-1.246604612963331249e-03,-8.907120066625751065e-04
1.900000000000000000e+01,1.504357479391952614e-02,1.503071396413079019e-02,2.573076474978587047e+00,2.571671439386617575e+00,-1.405035591969472364e-03,-8.549051648238936707e-04
2.000000000000000000e+01,1.408385275358109423e-02,1.407234665826750594e-02,2.583406656286655334e+00,2.581850096888318014e+00,-1.556559398337320488e-03,-8.169707192275943441e-04
