sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000015932e-01,3.999999999999960032e+00,3.999999999999950262e+00,3.999999999999960032e+00,3.999999999999960032e+00
2.000000000000000000e+00,2.000000000000015932e-01,8.698583984375162226e-01,8.698583984375174438e-01,8.687791748047041240e-01,8.708155517578285432e-01
3.000000000000000000e+00,1.130141601562492798e-01,2.768754779588137982e+00,2.768829084777495897e+00,2.764005168930932399e+00,2.772830519120669912e+00
4.000000000000000000e+00,9.569716796875009368e-02,1.716334588173311193e+00,1.716357186267611912e+00,1.714216431614429492e+00,1.718322947568855508e+00
5.000000000000000000e+00,7.195207031250006047e-02,2.432279137642086919e+00,2.432366289723386643e+00,2.428406058016053137e+00,2.435973056598506492e+00
6.000000000000000000e+00,6.069566406250000157e-02,2.128759712422831019e+00,2.128824735363493037e+00,2.125468610747264453e+00,2.131928656864785498e+00
7.000000000000000000e+00,5.041765625000001888e-02,2.380947563012710599e+00,2.381053285548693221e+00,2.377088853866986540e+00,2.384658549479189649e+00
8.000000000000000000e+00,4.354683609374998543e-02,2.314007205553628488e+00,2.314113879083986802e+00,2.310191056025177048e+00,2.317698216550411860e+00
9.000000000000000000e+00,3.782169468749998348e-02,2.409229531731302831e+00,2.409360988955328242e+00,2.405300692838957755e+00,2.413193846499077200e+00
1.000000000000000000e+01,3.342226456249999811e-02,2.408279360438978056e+00,2.408420508968788898e+00,2.404454922211737511e+00,2.412225849862129401e+00
1.100000000000000000e+01,2.977267969500000180e-02,2.451513785388544697e+00,2.451671814317501141e+00,2.447646324323865752e+00,2.455572084528386601e+00
1.200000000000000000e+01,2.678697958974998738e-02,2.465560576933129244e+00,2.465729882362399650e+00,2.461700474616605128e+00,2.469657456090639691e+00
1.300000000000000000e+01,2.426893629070000710e-02,2.490378838663001027e+00,2.490560771123143446e+00,2.486405714187160498e+00,2.494532200808881051e+00
1.400000000000000000e+01,2.213783763780999975e-02,2.505762920332441190e+00,2.505954981231712786e+00,2.501648441552839497e+00,2.509995371769258909e+00
1.500000000000000000e+01,2.030663824147399196e-02,2.523011213663848729e+00,2.523212936335821333e+00,2.518823456243278525e+00,2.527131945415382663e+00
1.600000000000000000e+01,1.872224590480639841e-02,2.536751527383486859e+00,2.536961379979984610e+00,2.532523177797122660e+00,2.541024893262636031e+00
1.700000000000000000e+01,1.733828287303231311e-02,2.550225508148874276e+00,2.550442562699314575e+00,2.545835658687682468e+00,2.554487931923872246e+00
1.800000000000000000e+01,1.612127347831770682e-02,2.562091755448987485e+00,2.562314848236039833e+00,2.557635595046249044e+00,2.566540313659476436e+00
1.900000000000000000e+01,1.504360610269141196e-02,2.573328440133277439e+00,2.573556633542415817e+00,2.568794475081941808e+00,2.577873605498628873e+00
2.000000000000000000e+01,1.408379245588516245e-02,2.583652399088434581e+00,2.583884764562963454e+00,2.578942715814877218e+00,2.588333392807671274e+00
2.100000000000000000e+01,1.322422489434584708e-02,2.593392452362028422e+00,2.593628196052894186e+00,2.588525773462266422e+00,2.598218188933210993e+00
2.200000000000000000e+01,1.245066840686923082e-02,2.602524912531484436e+00,2.602763320027261962e+00,2.597591436174150559e+00,2.607560664988460175e+00
2.300000000000000000e+01,1.175135331677558057e-02,2.611181164672977228e+00,2.611421632649154390e+00,2.606249623303718899e+00,2.616367272825905754e+00
2.400000000000000000e+01,1.111654177903524318e-02,2.619389849782916890e+00,2.619631869249008815e+00,2.614321823762315145e+00,2.624671308645913026e+00
2.500000000000000000e+01,1.053808012091338696e-02,2.627214968382753479e+00,2.627458128869498033e+00,2.621877743546979556e+00,2.632640800791809177e+00
