sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000015932e-01,3.999999999999960032e+00,3.999999999999950262e+00,3.999999999999960032e+00,3.999999999999960032e+00
2.000000000000000000e+00,2.000000000000015932e-01,8.705371093750167155e-01,8.705371093750174927e-01,8.695408935547038753e-01,8.714846191406413478e-01
3.000000000000000000e+00,1.129462890624992333e-01,2.771889293341577076e+00,2.771958420797152822e+00,2.767520133753887723e+00,2.776054726540419626e+00
4.000000000000000000e+00,9.564179687500010130e-02,1.717235943032846324e+00,1.717248448188359422e+00,1.715801823324321074e+00,1.718792900339472629e+00
5.000000000000000000e+00,7.188640625000004836e-02,2.434586739495695262e+00,2.434647813969344377e+00,2.431771602060305515e+00,2.437458972235683863e+00
6.000000000000000000e+00,6.063905859374998236e-02,2.129370669778322789e+00,2.129406359243483760e+00,2.126956824983093686e+00,2.132003928158534123e+00
7.000000000000000000e+00,5.036590078124998648e-02,2.381547246910430182e+00,2.381609766215683432e+00,2.378569297129411897e+00,2.384739692108921894e+00
8.000000000000000000e+00,4.350351968750001269e-02,2.313432625059939518e+00,2.313495468954040568e+00,2.310172387492653634e+00,2.317016704525098003e+00
9.000000000000000000e+00,3.778559306249999750e-02,2.408085589148877048e+00,2.408166852292421556e+00,2.404207965632713329e+00,2.412127227783962713e+00
1.000000000000000000e+01,3.339341500625001014e-02,2.406280666711110960e+00,2.406372728951468698e+00,2.401975951847664437e+00,2.410824892255952534e+00
1.100000000000000000e+01,2.975020016999998726e-02,2.448893838585565863e+00,2.449001388960514891e+00,2.444291812256400576e+00,2.453739848255970468e+00
1.200000000000000000e+01,2.677022574324999099e-02,2.462311693872081264e+00,2.462432128930671649e+00,2.457518819508993868e+00,2.467476518214108072e+00
1.300000000000000000e+01,2.425714684539999680e-02,2.486621732632926740e+00,2.486755262762363028e+00,2.481616330702583362e+00,2.492097274236293902e+00
1.400000000000000000e+01,2.213035278037000023e-02,2.501554565881369818e+00,2.501699607369580747e+00,2.496268087583382922e+00,2.507165126016650536e+00
1.500000000000000000e+01,2.030284077094999390e-02,2.518432339771411232e+00,2.518587872779060710e+00,2.512999262967205993e+00,2.524183410801383864e+00
1.600000000000000000e+01,1.872159739458400043e-02,2.531862785061600007e+00,2.532027509523965936e+00,2.526323516873363761e+00,2.537740757659990187e+00
1.700000000000000000e+01,1.734030853843415362e-02,2.545086811459848164e+00,2.545259591868750171e+00,2.539529481659455357e+00,2.550998194623915083e+00
1.800000000000000000e+01,1.612556265530086172e-02,2.556753576215458956e+00,2.556933370935262406e+00,2.551152537491688133e+00,2.562701426417663964e+00
1.900000000000000000e+01,1.504980353913265741e-02,2.567836134661589220e+00,2.568022029292167385e+00,2.562044954052002055e+00,2.573680896859504408e+00
2.000000000000000000e+01,1.409159268965124584e-02,2.578045068956398289e+00,2.578236303220514447e+00,2.572184300940799861e+00,2.583817815865248058e+00
2.100000000000000000e+01,1.323336548676778621e-02,2.587704193649634110e+00,2.587900128529281751e+00,2.581993505736875250e+00,2.593408308405411589e+00
2.200000000000000000e+01,1.246092433887946785e-02,2.596785082280010037e+00,2.596985212431517809e+00,2.591039852254763964e+00,2.602469227006875219e+00
2.300000000000000000e+01,1.176253173973950891e-02,2.605414992634216720e+00,2.605618914340855685e+00,2.599775328206875180e+00,2.611113144569916056e+00
2.400000000000000000e+01,1.112847753252933086e-02,2.613618863267817005e+00,2.613826271267512436e+00,2.608000733633088153e+00,2.619359090790989164e+00
2.500000000000000000e+01,1.055063178980322758e-02,2.621457425050997880e+00,2.621668089588679251e+00,2.615893346331114255e+00,2.627213933797294843e+00
