sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.800000000000000000e+01,1.630007912382278740e-02,2.534350118734075341e+00,2.534468610690984391e+00,2.526599637888135241e+00,2.541528643807835497e+00
1.900000000000000000e+01,1.522174730563353659e-02,2.545879187735572202e+00,2.546000756111602925e+00,2.538554662567054088e+00,2.552505259043639896e+00
2.000000000000000000e+01,1.426046177296055352e-02,2.556705376704661692e+00,2.556829351682460061e+00,2.549845388534464519e+00,2.563190388396544339e+00
2.100000000000000000e+01,1.339875734117255968e-02,2.567149041699353429e+00,2.567274847839028151e+00,2.560785184799797332e+00,2.573451695003582618e+00
2.200000000000000000e+01,1.262252810303896716e-02,2.577160778637315630e+00,2.577287961086412782e+00,2.570988638210752519e+00,2.583277329552377655e+00
2.300000000000000000e+01,1.192010805233622781e-02,2.586857783800813770e+00,2.586985977740365872e+00,2.581201685061584872e+00,2.592580761520936417e+00
2.400000000000000000e+01,1.128184878569406593e-02,2.596250079192578220e+00,2.596379010094628015e+00,2.590772492238241131e+00,2.601863659046927513e+00
2.500000000000000000e+01,1.069967051886552313e-02,2.605387560938599023e+00,2.605517023451592085e+00,2.600390696588143591e+00,2.610970471223913680e+00
2.600000000000000000e+01,1.016677724665431860e-02,2.614286879569823974e+00,2.614416728505514431e+00,2.609654542132399779e+00,2.619679310678313389e+00
2.700000000000000000e+01,9.677406197194853704e-03,2.622972325601585553e+00,2.623102461062951640e+00,2.618627701602087132e+00,2.628306535012813860e+00
2.800000000000000000e+01,9.226645074845156447e-03,2.631456677998346372e+00,2.631587035452649825e+00,2.627169135767947417e+00,2.636591947008707137e+00
2.900000000000000000e+01,8.810280597276216527e-03,2.639752921869765512e+00,2.639883461796099340e+00,2.635526254865770301e+00,2.644793170141478633e+00
3.000000000000000000e+01,8.424680800736453201e-03,2.647869470634359956e+00,2.648000170647584195e+00,2.643696966816126093e+00,2.652957859289120535e+00
3.100000000000000000e+01,8.066698760872566959e-03,2.655813724905148998e+00,2.655944572912355195e+00,2.651528484075562186e+00,2.660950361710925804e+00
3.200000000000000000e+01,7.733595339968687976e-03,2.663591033507125339e+00,2.663722022408758328e+00,2.659252484743434675e+00,2.668752708106705729e+00
3.300000000000000000e+01,7.422975785737783057e-03,2.671205884077382908e+00,2.671337007621697346e+00,2.666565904054239322e+00,2.676362134924170633e+00
3.400000000000000000e+01,7.132737867355757634e-03,2.678661777506129660e+00,2.678793027208410393e+00,2.673872696099135471e+00,2.683905042253988071e+00
3.500000000000000000e+01,6.861028953553769717e-03,2.685961681562851755e+00,2.686093044536773000e+00,2.681065081045653997e+00,2.691231212299860065e+00
3.600000000000000000e+01,6.606210414060366236e-03,2.693108089161846852e+00,2.693239546683271701e+00,2.687948880812478514e+00,2.698598278926722660e+00
3.700000000000000000e+01,6.366827878420125084e-03,2.700103215170978732e+00,2.700234741871532229e+00,2.694858828925648986e+00,2.705656617157039978e+00
3.800000000000000000e+01,6.141586294466787853e-03,2.706949064422226936e+00,2.707080627961587993e+00,2.701609161472023679e+00,2.712561191333037858e+00
3.900000000000000000e+01,5.929328897528671379e-03,2.713647524869478911e+00,2.713779086002733543e+00,2.708062433418015669e+00,2.719346791484502646e+00
4.000000000000000000e+01,5.729019405058691575e-03,2.720200413578300669e+00,2.720331926511068144e+00,2.714365516798047384e+00,2.725844634766843022e+00
4.100000000000000000e+01,5.539726873652702291e-03,2.726609521692660909e+00,2.726740934658191229e+00,2.720604997060881658e+00,2.732216676388024013e+00
4.200000000000000000e+01,5.360612769905565358e-03,2.732876639681900865e+00,2.733007895668390752e+00,2.726818095807447051e+00,2.738593161391665642e+00
4.300000000000000000e+01,5.190919887622811625e-03,2.739003577614967710e+00,2.739134615195269351e+00,2.732872510243839148e+00,2.744793701295876964e+00
