sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.800000000000000000e+01,1.600489388828953141e-02,2.576152128224378668e+00,2.576347869778926380e+00,2.566097236483272148e+00,2.584492114367535454e+00
1.900000000000000000e+01,1.492914300122656461e-02,2.588425998595664801e+00,2.588625847168837701e+00,2.578374195079446984e+00,2.596806903983512438e+00
2.000000000000000000e+01,1.397105273665124985e-02,2.599798258518718264e+00,2.600001247655213898e+00,2.589732498998476906e+00,2.608398445513609332e+00
2.100000000000000000e+01,1.311304707250561009e-02,2.610599126269653514e+00,2.610804242391675967e+00,2.600677677631086038e+00,2.619206285316445726e+00
2.200000000000000000e+01,1.234091420187906005e-02,2.620807140949195535e+00,2.621013370050168323e+00,2.611064307541838936e+00,2.629426137806243347e+00
2.300000000000000000e+01,1.164290361495442898e-02,2.630555477168733169e+00,2.630761802926014248e+00,2.620950339556206377e+00,2.639037320688965682e+00
2.400000000000000000e+01,1.100929229429358121e-02,2.639874932272445740e+00,2.640080360476283694e+00,2.630317619766041393e+00,2.648314372333598232e+00
2.500000000000000000e+01,1.043193883371418620e-02,2.648831105238810490e+00,2.649034669238261142e+00,2.639421258524974778e+00,2.657250950065570549e+00
2.600000000000000000e+01,9.903994531465948672e-03,2.657456816705725089e+00,2.657657590328137420e+00,2.648182117807616365e+00,2.665812777088576890e+00
2.700000000000000000e+01,9.419652765242631995e-03,2.665789815152120212e+00,2.665986918255603744e+00,2.656812509489030472e+00,2.674053266035603560e+00
2.800000000000000000e+01,8.973964368360270311e-03,2.673855517063747467e+00,2.674048122234361280e+00,2.665131772407000277e+00,2.682038060346534358e+00
2.900000000000000000e+01,8.562685474661432122e-03,2.681677759834352415e+00,2.681865095905010321e+00,2.673166433700910893e+00,2.689830824226820294e+00
3.000000000000000000e+01,8.182158740710055930e-03,2.689274727894443551e+00,2.689456082922600189e+00,2.680884425716272279e+00,2.697398369434815368e+00
3.100000000000000000e+01,7.829216383961026121e-03,2.696662274564011863e+00,2.696836997201782715e+00,2.688436133279272333e+00,2.704857150585361580e+00
3.200000000000000000e+01,7.501102209676953694e-03,2.703853192429221508e+00,2.704020692534906622e+00,2.695973070349693135e+00,2.711911634731910770e+00
3.300000000000000000e+01,7.195407660324372456e-03,2.710858398248222390e+00,2.711018146581254840e+00,2.703142959676611223e+00,2.718932287856084873e+00
