k0,sigma,P_mean,Ds_of_mean_P,mean_Ds
5.000000000000000000e-01,5.600000000000000000e+01,3.331680948094402524e-03,2.865527511150447459e+00,2.865657912797184181e+00
5.000000000000000000e-01,5.700000000000000000e+01,3.248239406289506366e-03,2.868886188008957561e+00,2.869017549188572325e+00
5.000000000000000000e-01,5.800000000000000000e+01,3.168192717075974784e-03,2.872150519495029197e+00,2.872282777669462384e+00
5.000000000000000000e-01,5.900000000000000000e+01,3.091351020803124842e-03,2.875322808306937539e+00,2.875455897301865793e+00
5.000000000000000000e-01,6.000000000000000000e+01,3.017537935743802580e-03,2.878405281319288189e+00,2.878539131859458422e+00
5.000000000000000000e-01,6.100000000000000000e+01,2.946589401956020444e-03,2.881400093712369603e+00,2.881534633948472646e+00
5.000000000000000000e-01,6.200000000000000000e+01,2.878352641007278761e-03,2.884309332616049826e+00,2.884444488640822257e+00
5.000000000000000000e-01,6.300000000000000000e+01,2.812685218326708373e-03,2.887135020350938941e+00,2.887270716701896944e+00
5.000000000000000000e-01,6.400000000000000000e+01,2.749454196641334860e-03,2.889879117334409830e+00,2.890015277481241540e+00
5.000000000000000000e-01,6.500000000000000000e+01,2.688535370405751353e-03,2.892543524706481239e+00,2.892680071521703589e+00
5.000000000000000000e-01,6.600000000000000000e+01,2.629812572385773362e-03,2.895130086722951024e+00,2.895266942933969023e+00
5.000000000000000000e-01,6.700000000000000000e+01,2.573177044636716041e-03,2.897640592952481775e+00,2.897777681574089215e+00
5.000000000000000000e-01,6.800000000000000000e+01,2.518526867051551748e-03,2.900076780308908031e+00,2.900214025055371181e+00
5.000000000000000000e-01,6.900000000000000000e+01,2.465766437464358019e-03,2.902440334944860645e+00,2.902577660620561772e+00
5.000000000000000000e-01,7.000000000000000000e+01,2.414805997998655408e-03,2.904732894026157197e+00,2.904870226894587848e+00
5.000000000000000000e-01,7.100000000000000000e+01,2.365561202963238630e-03,2.906956047405213184e+00,2.907093315535688838e+00
5.000000000000000000e-01,7.200000000000000000e+01,2.317952724133005588e-03,2.909111339206723823e+00,2.909248472798481089e+00
5.000000000000000000e-01,7.300000000000000000e+01,2.271905889719899162e-03,2.911200269336809754e+00,2.911337201020776977e+00
5.000000000000000000e-01,7.400000000000000000e+01,2.227350353748615806e-03,2.913224294924518620e+00,2.913360960042517878e+00
5.000000000000000000e-01,7.500000000000000000e+01,2.184219792911126345e-03,2.915184831703764079e+00,2.915321168565212950e+00
5.000000000000000000e-01,7.600000000000000000e+01,2.142451628289927107e-03,2.917083255341272885e+00,2.917219205457967757e+00
5.000000000000000000e-01,7.700000000000000000e+01,2.101986769618189622e-03,2.918920902715082644e+00,2.919056411014110619e+00
5.000000000000000000e-01,7.800000000000000000e+01,2.062769379990328587e-03,2.920699073148118607e+00,2.920834088163455355e+00
