sigma,condensate_starts_full_operator,excised_renormalize,excised_hold,excised_radius_minus1,excised_radius_plus1,excised_rho0.4
7.700000000000000000e+01,2.781988266560206480e+00,2.780990425174876712e+00,2.760486663800330476e+00,2.786773408186857814e+00,2.760040612305195484e+00,2.736571320952630337e+00
7.800000000000000000e+01,2.781282582723147101e+00,2.780166692183876798e+00,2.759637857077371859e+00,2.786758324778551010e+00,2.759441633361328972e+00,2.738685296854173945e+00
7.900000000000000000e+01,2.780509675339536635e+00,2.779271738313445983e+00,2.758726016003338444e+00,2.786670160853621514e+00,2.758772636602764283e+00,2.740765878878570927e+00
8.000000000000000000e+01,2.779671256580850347e+00,2.778307398371429038e+00,2.757752922734915124e+00,2.786510394414833502e+00,2.758035525997900361e+00,2.742813046341329830e+00
8.100000000000000000e+01,2.778768990056189825e+00,2.777275448035080530e+00,2.756720290535844775e+00,2.786280473446581585e+00,2.757232136292166125e+00,2.744826785091206922e+00
8.200000000000000000e+01,2.777804492082771581e+00,2.776177606495080497e+00,2.755629767019771137e+00,2.785981816669855782e+00,2.756364235640179849e+00,2.746807088357991589e+00
8.300000000000000000e+01,2.776779332950403578e+00,2.775015538963668593e+00,2.754482937256468755e+00,2.785615814246922284e+00,2.755433528187513303e+00,2.748753957423670791e+00
8.400000000000000000e+01,2.775695038177866003e+00,2.773790859053404390e+00,2.753281326743787893e+00,2.785183828442065579e+00,2.754441656596302579e+00,2.750667402139151285e+00
8.500000000000000000e+01,2.774553089758997171e+00,2.772505131033075720e+00,2.752026404247904345e+00,2.784687194244439112e+00,2.753390204509597705e+00,2.752547441305281062e+00
8.600000000000000000e+01,2.773354927396501690e+00,2.771159871966605959e+00,2.750719584514611071e+00,2.784127219957697186e+00,2.752280698951004467e+00,2.754394102935743049e+00
8.700000000000000000e+01,2.772101949721201830e+00,2.769756553740483795e+00,2.749362230855063149e+00,2.783505187760806354e+00,2.751114612656869962e+00,2.756207424417643104e+00
8.800000000000000000e+01,2.770795515495307004e+00,2.768296604985943876e+00,2.747955657610189562e+00,2.782822354243877250e+00,2.749893366338397538e+00,2.757987452582814747e+00
8.900000000000000000e+01,2.769436944797957434e+00,2.766781412901046622e+00,2.746501132496469655e+00,2.782079950921946043e+00,2.748618330872393933e+00,2.759734243702978151e+00
9.000000000000000000e+01,2.768027520190869062e+00,2.765212324977639913e+00,2.744999878837898422e+00,2.781279184729799514e+00,2.747290829419853697e+00,2.761447863419185023e+00
9.100000000000000000e+01,2.766568487863552583e+00,2.763590650638707569e+00,2.743453077688170261e+00,2.780421238500335068e+00,2.745912139471645030e+00,2.763128386615189225e+00
9.200000000000000000e+01,2.765061058756535406e+00,2.761917662790419836e+00,2.741861869846843547e+00,2.779507271428216519e+00,2.744483494821572389e+00,2.764775897244262204e+00
9.300000000000000000e+01,2.763506409661290242e+00,2.760194599293738005e+00,2.740227357773995731e+00,2.778538419520998115e+00,2.743006087466860254e+00,2.766390488116117208e+00
9.400000000000000000e+01,2.761905684296132701e+00,2.758422664359994947e+00,2.738550607407181481e+00,2.777515796038874551e+00,2.741481069436779272e+00,2.767972260651164085e+00
9.500000000000000000e+01,2.760259994357765034e+00,2.756603029874254318e+00,2.736832649885428292e+00,2.776440491924829779e+00,2.739909554550600479e+00,2.769521324608418933e+00
9.600000000000000000e+01,2.758570420547099111e+00,2.754736836650848453e+00,2.735074483183669525e+00,2.775313576225887591e+00,2.738292620106059783e+00,2.771037797791938484e+00
9.700000000000000000e+01,2.756838013569121504e+00,2.752825195624834187e+00,2.733277073662382595e+00,2.774136096506570670e+00,2.736631308498852277e+00,2.772521805740564282e+00
9.800000000000000000e+01,2.755063795107068447e+00,2.750869188982624891e+00,2.731441357535692838e+00,2.772909079255317710e+00,2.734926628775811608e+00,2.773973481405219488e+00
9.900000000000000000e+01,2.753248758769902160e+00,2.748869871235473994e+00,2.729568242262130795e+00,2.771633530284663749e+00,2.733179558122864616e+00,2.775392964817237740e+00
1.000000000000000000e+02,2.751393871012930870e+00,2.746828270238843572e+00,2.727658607862026408e+00,2.770310435125538984e+00,2.731391043289059350e+00,2.776780402750771870e+00
1.010000000000000000e+02,2.749500072032516229e+00,2.744745388161236921e+00,2.725713308164535054e+00,2.768940759416003594e+00,2.729562001949352279e+00,2.778135948382329801e+00
1.020000000000000000e+02,2.747568276633885809e+00,2.742622202404774612e+00,2.723733171988641288e+00,2.767525449285175743e+00,2.727693324007314235e+00,2.779459760949609670e+00
1.030000000000000000e+02,2.745599375072239390e+00,2.740459666480028034e+00,2.721719004260453989e+00,2.766065431732228408e+00,2.725785872839850299e+00,2.780752005411182282e+00
1.040000000000000000e+02,2.743594233868718035e+00,2.738258710838979759e+00,2.719671587071282204e+00,2.764561615000955985e+00,2.723840486486105217e+00,2.782012852109824408e+00
1.050000000000000000e+02,2.741553696599537293e+00,2.736020243667315111e+00,2.717591680678802746e+00,2.763014888949722803e+00,2.721857978781956788e+00,2.783242476440093149e+00
1.060000000000000000e+02,2.739478584660021365e+00,2.733745151638482085e+00,2.715480024454224317e+00,2.761426125417369981e+00,2.719839140442589454e+00,2.784441058521761825e+00
1.070000000000000000e+02,2.737369698003792262e+00,2.731434300632236134e+00,2.713337337779233582e+00,2.759796178584726256e+00,2.717784740094419949e+00,2.785608782880135692e+00
1.080000000000000000e+02,2.735227815856543732e+00,2.729088536419531863e+00,2.711164320894386304e+00,2.758125885331689453e+00,2.715695525259179011e+00,2.786745838133815933e+00
1.090000000000000000e+02,2.733053697406782057e+00,2.726708685315441638e+00,2.708961655702165405e+00,2.756416065590673092e+00,2.713572223291238039e+00,2.787852416691583457e+00
1.100000000000000000e+02,2.730848082471890592e+00,2.724295554801668739e+00,2.706730006527270138e+00,2.754667522695525506e+00,2.711415542269911327e+00,2.788928714457400648e+00
1.110000000000000000e+02,2.728611692141075906e+00,2.721849934121549630e+00,2.704470020836271082e+00,2.752881043725929455e+00,2.709226171849595133e+00,2.789974930545445986e+00
1.120000000000000000e+02,2.726345229396588188e+00,2.719372594847786484e+00,2.702182329918777715e+00,2.751057399847968821e+00,2.707004784067994052e+00,2.790991267004698351e+00
1.130000000000000000e+02,2.724049379712365937e+00,2.716864291424665012e+00,2.699867549532675604e+00,2.749197346650170459e+00,2.704752034115977199e+00,2.791977928553516453e+00
1.140000000000000000e+02,2.721724811631302199e+00,2.714325761687541583e+00,2.697526280515238017e+00,2.747301624475180670e+00,2.702468561068914532e+00,2.792935122324439856e+00
1.150000000000000000e+02,2.719372177321566664e+00,2.711757727358652836e+00,2.695159109361930039e+00,2.745370958746952361e+00,2.700154988582044169e+00,2.793863057619169865e+00
1.160000000000000000e+02,2.716992113113037899e+00,2.709160894522343099e+00,2.692766608774993298e+00,2.743406060293042348e+00,2.697811925551849566e+00,2.794761945673732040e+00
1.170000000000000000e+02,2.714585240014095291e+00,2.706535954080434347e+00,2.690349338183286143e+00,2.741407625662894088e+00,2.695439966743876870e+00,2.795631999433796366e+00
1.180000000000000000e+02,2.712152164209545635e+00,2.703883582187956325e+00,2.687907844235406518e+00,2.739376337441212783e+00,2.693039693389623235e+00,2.796473433340472159e+00
1.190000000000000000e+02,2.709693477539589779e+00,2.701204440671776119e+00,2.685442661267068321e+00,2.737312864556065595e+00,2.690611673752897559e+00,2.797286463125463474e+00
1.200000000000000000e+02,2.707209757961552388e+00,2.698499177431384233e+00,2.682954311744680798e+00,2.735217862582983717e+00,2.688156463667907392e+00,2.798071305616502524e+00
1.210000000000000000e+02,2.704701569994758525e+00,2.695768426824402653e+00,2.680443306686505878e+00,2.733091974043692751e+00,2.685674607049787443e+00,2.798828178552204893e+00
1.220000000000000000e+02,2.702169465147894023e+00,2.693012810036762072e+00,2.677910146062433938e+00,2.730935828699548207e+00,2.683166636378989445e+00,2.799557300406279481e+00
1.230000000000000000e+02,2.699613982330953288e+00,2.690232935438139350e+00,2.675355319173312374e+00,2.728750043840853401e+00,2.680633073161189373e+00,2.800258890221139385e+00
1.240000000000000000e+02,2.697035648251852269e+00,2.687429398924079393e+00,2.672779305011971029e+00,2.726535224570214577e+00,2.678074428363293347e+00,2.800933167450267103e+00
1.250000000000000000e+02,2.694434977797913966e+00,2.684602784244987994e+00,2.670182572606529803e+00,2.724291964081674067e+00,2.675491202827214643e+00,2.801580351808960145e+00
1.260000000000000000e+02,2.691812474402933475e+00,2.681753663323346526e+00,2.667565581346151404e+00,2.722020843933874890e+00,2.672883887661507973e+00,2.802200663133897596e+00
